id,name,samp_name,analysis_type,insdc_biosample_identifiers
nmdc:bsm-11-442x9w41,LabA_01_Axe_1,LabA_01_Axe_1,['metabolomics'],['biosample:SAMN43527811']
nmdc:bsm-11-1nsdsc26,LabA_02_Axe_2,LabA_02_Axe_2,['metabolomics'],['biosample:SAMN43527819']
nmdc:bsm-11-6dfw2x66,LabA_03_Axe_3,LabA_03_Axe_3,['metabolomics'],['biosample:SAMN43527801']
nmdc:bsm-11-4mxkv411,LabA_04_Axe_4,LabA_04_Axe_4,['metabolomics'],['biosample:SAMN43527809']
nmdc:bsm-11-jfbeqj74,LabA_05_Axe_5,LabA_05_Axe_5,['metabolomics'],['biosample:SAMN43527745']
nmdc:bsm-11-t71b4p84,LabA_06_Axe_6,LabA_06_Axe_6,['metabolomics'],['biosample:SAMN43527715']
nmdc:bsm-11-z30rr925,LabA_07_Axe_7,LabA_07_Axe_7,['metabolomics'],['biosample:SAMN43527696']
nmdc:bsm-11-756y7662,LabA_08_Syn16_1,LabA_08_Syn16_1,['metabolomics'],['biosample:SAMN43527795']
nmdc:bsm-11-zvkngt76,LabA_09_Syn16_2,LabA_09_Syn16_2,['metabolomics'],['biosample:SAMN43527688']
nmdc:bsm-11-rp1dmm82,LabA_10_Syn16_3,LabA_10_Syn16_3,['metabolomics'],['biosample:SAMN43527720']
nmdc:bsm-11-ns971194,LabA_11_Syn16_4,LabA_11_Syn16_4,['metabolomics'],['biosample:SAMN43527730']
nmdc:bsm-11-mh79nb81,LabA_12_Syn16_5,LabA_12_Syn16_5,['metabolomics'],['biosample:SAMN43527737']
nmdc:bsm-11-yn65m210,LabA_13_Syn16_6,LabA_13_Syn16_6,['metabolomics'],['biosample:SAMN43527698']
nmdc:bsm-11-r2rmke82,LabA_14_Syn16_7,LabA_14_Syn16_7,['metabolomics'],['biosample:SAMN43527723']
nmdc:bsm-11-13rnnv18,LabA_15_Syn17_1,LabA_15_Syn17_1,['metabolomics'],['biosample:SAMN43527823']
nmdc:bsm-11-0ahthd94,LabA_16_Syn17_2,LabA_16_Syn17_2,['metabolomics'],['biosample:SAMN43527827']
nmdc:bsm-11-pa6tvy76,LabA_17_Syn17_3,LabA_17_Syn17_3,['metabolomics'],['biosample:SAMN43527729']
nmdc:bsm-11-ty269g72,LabA_18_Syn17_4,LabA_18_Syn17_4,['metabolomics'],['biosample:SAMN43527711']
nmdc:bsm-11-n6479f35,LabA_19_Syn17_5,LabA_19_Syn17_5,['metabolomics'],['biosample:SAMN43527732']
nmdc:bsm-11-hergt909,LabA_20_Syn17_6,LabA_20_Syn17_6,['metabolomics'],['biosample:SAMN43527748']
nmdc:bsm-11-vx8ys961,LabA_21_Syn17_7,LabA_21_Syn17_7,['metabolomics'],['biosample:SAMN43527707']
nmdc:bsm-11-954kpx45,LabA_22_TxCtrl_1,LabA_22_TxCtrl_1,['metabolomics'],['biosample:SAMN43527780']
nmdc:bsm-11-h1810p95,LabA_23_TxCtrl_2,LabA_23_TxCtrl_2,['metabolomics'],['biosample:SAMN43527749']
nmdc:bsm-11-6kpc6j55,LabA_24_TxCtrl_3,LabA_24_TxCtrl_3,['metabolomics'],['biosample:SAMN43527799']
nmdc:bsm-11-83e83s62,LabA_25_TxCtrl_4,LabA_25_TxCtrl_4,['metabolomics'],['biosample:SAMN43527787']
nmdc:bsm-11-xfh3dd20,LabA_26_TxCtrl_5,LabA_26_TxCtrl_5,['metabolomics'],['biosample:SAMN43527701']
nmdc:bsm-11-45y9mx30,LabA_27_TxCtrl_6,LabA_27_TxCtrl_6,['metabolomics'],['biosample:SAMN43527810']
nmdc:bsm-11-aejbnh36,LabA_28_TxCtrl_7,LabA_28_TxCtrl_7,['metabolomics'],['biosample:SAMN43527772']
nmdc:bsm-11-x255p785,LabB_01_Axe_1,LabB_01_Axe_1,['metabolomics'],['biosample:SAMN43527703']
nmdc:bsm-11-dwvcn565,LabB_02_Axe_2,LabB_02_Axe_2,['metabolomics'],['biosample:SAMN43527759']
