Biosample Id,Associated Study,Processing Type,Raw Data File,Raw Data Object Alt Id,Processed Data Directory,mass spec configuration name,lc config name,instrument used,processing institution,instrument analysis start date,instrument analysis end date,execution resource
nmdc:bsm-11-1zcd1f81,nmdc:sty-11-dcqce727,MPLEX,EMSL_49991_Brodie_152_Lipids_POS_09Aug19_Lola-WCSH417820.raw,https://status.my.emsl.pnl.gov/view/1826275,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL metabolomics GC/MS mass spectrometry method,VOrbiETD04,EMSL,2019-08-10 12:58:27 AM,2019-08-10 01:32:28 AM,EMSL-RZR
nmdc:bsm-11-9z06af42,nmdc:sty-11-dcqce727,MPLEX,EMSL_49991_Brodie_157_Lipids_POS_09Aug19_Lola-WCSH417820.raw,https://status.my.emsl.pnl.gov/view/1826276,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL metabolomics GC/MS mass spectrometry method,VOrbiETD04,EMSL,2019-08-10 03:06:37 AM,2019-08-10 03:40:37 AM,EMSL-RZR
nmdc:bsm-11-q9k9sd16,nmdc:sty-11-dcqce727,MPLEX,EMSL_49991_Brodie_119_Lipids_POS_09Aug19_Lola-WCSH417820.raw,https://status.my.emsl.pnl.gov/view/1826280,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL metabolomics GC/MS mass spectrometry method,VOrbiETD04,EMSL,2019-08-09 04:26:24 PM,2019-08-09 05:00:26 PM,EMSL-RZR
nmdc:bsm-11-qvset022,nmdc:sty-11-dcqce727,MPLEX,EMSL_49991_Brodie_120_Lipids_POS_09Aug19_Lola-WCSH417820.raw,https://status.my.emsl.pnl.gov/view/1826277,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL metabolomics GC/MS mass spectrometry method,VOrbiETD04,EMSL,2019-08-09 05:09:02 PM,2019-08-09 05:43:04 PM,EMSL-RZR
nmdc:bsm-11-ks2kjm48,nmdc:sty-11-dcqce727,MPLEX,EMSL_49991_Brodie_140_Lipids_POS_09Aug19_Lola-WCSH417820.raw,https://status.my.emsl.pnl.gov/view/1826285,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL metabolomics GC/MS mass spectrometry method,VOrbiETD04,EMSL,2019-08-09 08:42:25 PM,2019-08-09 09:16:25 PM,EMSL-RZR
nmdc:bsm-11-1e41ar38,nmdc:sty-11-dcqce727,MPLEX,EMSL_49991_Brodie_195_Lipids_POS_09Aug19_Lola-WCSH417820.raw,https://status.my.emsl.pnl.gov/view/1826286,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL metabolomics GC/MS mass spectrometry method,VOrbiETD04,EMSL,2019-08-10 01:04:08 PM,2019-08-10 01:38:10 PM,EMSL-RZR
nmdc:bsm-11-4fbakw22,nmdc:sty-11-dcqce727,MPLEX,EMSL_49991_Brodie_355_Lipids_POS_09Aug19_Lola-WCSH417820.raw,https://status.my.emsl.pnl.gov/view/1826307,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL metabolomics GC/MS mass spectrometry method,VOrbiETD04,EMSL,2019-08-10 06:03:03 PM,2019-08-10 06:37:04 PM,EMSL-RZR
nmdc:bsm-11-3nntxr12,nmdc:sty-11-dcqce727,MPLEX,EMSL_49991_Brodie_133_Lipids_POS_09Aug19_Lola-WCSH417820.raw,https://status.my.emsl.pnl.gov/view/1826309,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL metabolomics GC/MS mass spectrometry method,VOrbiETD04,EMSL,2019-08-09 07:59:41 PM,2019-08-09 08:33:43 PM,EMSL-RZR
nmdc:bsm-11-gtm4g950,nmdc:sty-11-dcqce727,MPLEX,EMSL_49991_Brodie_184_Lipids_POS_09Aug19_Lola-WCSH417820.raw,https://status.my.emsl.pnl.gov/view/1826310,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL metabolomics GC/MS mass spectrometry method,VOrbiETD04,EMSL,2019-08-10 09:30:47 AM,2019-08-10 10:04:49 AM,EMSL-RZR
nmdc:bsm-11-7djjq022,nmdc:sty-11-dcqce727,MPLEX,EMSL_49991_Brodie_117_Lipids_POS_09Aug19_Lola-WCSH417820.raw,https://status.my.emsl.pnl.gov/view/1826319,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL metabolomics GC/MS mass spectrometry method,VOrbiETD04,EMSL,2019-08-09 03:01:00 PM,2019-08-09 03:35:01 PM,EMSL-RZR
