Biosample Id,Associated Study,Processing Type,Raw Data File,Raw Data Object Alt Id,Processed Data Directory,mass spec configuration name,lc config name,instrument used,processing institution,instrument analysis start date,instrument analysis end date,execution resource
nmdc:bsm-11-pwa2h444,nmdc:sty-11-8ws97026,MPLEX,Blanch_Nat_Lip_C_12_AB_O_25_POS_23Jan18_Brandi-WCSH5801.raw,https://status.my.emsl.pnl.gov/view/1464668,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL metabolomics GC/MS mass spectrometry method,VOrbiETD04,EMSL,2018-01-24 05:14:00 AM,2018-01-24 05:48:00 AM,EMSL-RZR
nmdc:bsm-11-xxvfda22,nmdc:sty-11-8ws97026,MPLEX,Blanch_Nat_Lip_H_2_AB_M_23_POS_23Jan18_Brandi-WCSH5801.raw,https://status.my.emsl.pnl.gov/view/1464669,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL metabolomics GC/MS mass spectrometry method,VOrbiETD04,EMSL,2018-01-24 01:40:00 AM,2018-01-24 02:14:00 AM,EMSL-RZR
nmdc:bsm-11-cwey4y35,nmdc:sty-11-8ws97026,MPLEX,Blanch_Nat_Lip_H_32_AB_M_20_POS_23Jan18_Brandi-WCSH5801.raw,https://status.my.emsl.pnl.gov/view/1464677,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL metabolomics GC/MS mass spectrometry method,VOrbiETD04,EMSL,2018-01-24 03:05:00 AM,2018-01-24 03:39:00 AM,EMSL-RZR
nmdc:bsm-11-k4wb6c34,nmdc:sty-11-8ws97026,MPLEX,Blanch_Nat_Lip_H_32_AB_O_19_POS_23Jan18_Brandi-WCSH5801.raw,https://status.my.emsl.pnl.gov/view/1464676,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL metabolomics GC/MS mass spectrometry method,VOrbiETD04,EMSL,2018-01-24 04:31:00 AM,2018-01-24 05:05:00 AM,EMSL-RZR
nmdc:bsm-11-nq2tfm26,nmdc:sty-11-8ws97026,MPLEX,Blanch_Nat_Lip_H_4_AB_M_05_POS_23Jan18_Brandi-WCSH5801.raw,https://status.my.emsl.pnl.gov/view/1464678,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL metabolomics GC/MS mass spectrometry method,VOrbiETD04,EMSL,2018-01-24 06:40:00 AM,2018-01-24 07:14:00 AM,EMSL-RZR
nmdc:bsm-11-042nd237,nmdc:sty-11-8ws97026,MPLEX,Blanch_Nat_Lip_C_7_AB_M_07_POS_23Jan18_Brandi-WCSH5801.raw,https://status.my.emsl.pnl.gov/view/1464681,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL metabolomics GC/MS mass spectrometry method,VOrbiETD04,EMSL,2018-01-24 03:48:00 AM,2018-01-24 04:22:00 AM,EMSL-RZR
nmdc:bsm-11-127y7152,nmdc:sty-11-8ws97026,MPLEX,Blanch_Nat_Lip_H_2_AB_O_15_POS_23Jan18_Brandi-WCSH5801.raw,https://status.my.emsl.pnl.gov/view/1464682,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL metabolomics GC/MS mass spectrometry method,VOrbiETD04,EMSL,2018-01-24 12:57:00 AM,2018-01-24 01:31:00 AM,EMSL-RZR
nmdc:bsm-11-4rx1wt74,nmdc:sty-11-8ws97026,MPLEX,Blanch_Nat_Lip_C_14_AB_O_09_POS_23Jan18_Brandi-WCSH5801.raw,https://status.my.emsl.pnl.gov/view/1464683,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL metabolomics GC/MS mass spectrometry method,VOrbiETD04,EMSL,2018-01-23 10:48:00 PM,2018-01-23 11:22:00 PM,EMSL-RZR
nmdc:bsm-11-622k6044,nmdc:sty-11-8ws97026,MPLEX,Blanch_Nat_Lip_C_12_AB_M_17_POS_23Jan18_Brandi-WCSH5801.raw,https://status.my.emsl.pnl.gov/view/1464684,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL metabolomics GC/MS mass spectrometry method,VOrbiETD04,EMSL,2018-01-24 05:57:00 AM,2018-01-24 06:31:00 AM,EMSL-RZR
nmdc:bsm-11-frgt4x11,nmdc:sty-11-8ws97026,MPLEX,Blanch_Nat_Lip_C_14_AB_M_27_POS_23Jan18_Brandi-WCSH5801.raw,https://status.my.emsl.pnl.gov/view/1464691,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL metabolomics GC/MS mass spectrometry method,VOrbiETD04,EMSL,2018-01-24 02:22:00 AM,2018-01-24 02:57:00 AM,EMSL-RZR
