raw_data_file_short,biosample.associated_studies,material_processing_type,raw_data_file,processed_data_directory,mass_spec_configuration_name,chromat_configuration_name,execution_resource,instrument_used,file_name,instrument_analysis_end_date,url,raw_data_url,sample_id,manifest_id,processing_institution_workflow,processing_institution_generation
4C1_3_60_pinto-63-s003-a04.raw,['nmdc:sty-11-547rwq94'],unknown,/Volumes/LaCie/nmdc_data/_emp500/raw/4C1_3_60_pinto-63-s003-a04.raw,/Volumes/LaCie/nmdc_data/_emp500/processed_20251021/4C1_3_60_pinto-63-s003-a04.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,Thermo Orbitrap Q-Exactive,4C1_3_60_pinto-63-s003-a04.raw,2019-02-12T05:36:18Z,ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE3and4/4C1_3_60_pinto-63-s003-a04.raw,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000083475%2Fraw%2FRAW%2FPLATE3and4%2F4C1_3_60_pinto-63-s003-a04.raw&forceDownload=true,nmdc:procsm-11-y6s30f19,nmdc:manif-12-y3xvdp79,NMDC,JGI
4D10_1_47_thomas-18-s034-a03.raw,['nmdc:sty-11-547rwq94'],unknown,/Volumes/LaCie/nmdc_data/_emp500/raw/4D10_1_47_thomas-18-s034-a03.raw,/Volumes/LaCie/nmdc_data/_emp500/processed_20251021/4D10_1_47_thomas-18-s034-a03.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,Thermo Orbitrap Q-Exactive,4D10_1_47_thomas-18-s034-a03.raw,2019-02-11T14:54:57Z,ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE3and4/4D10_1_47_thomas-18-s034-a03.raw,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000083475%2Fraw%2FRAW%2FPLATE3and4%2F4D10_1_47_thomas-18-s034-a03.raw&forceDownload=true,nmdc:procsm-11-cy2hsg65,nmdc:manif-12-y3xvdp79,NMDC,JGI
4G12_7_36_zaneveld-9-s004-a04.raw,['nmdc:sty-11-547rwq94'],unknown,/Volumes/LaCie/nmdc_data/_emp500/raw/4G12_7_36_zaneveld-9-s004-a04.raw,/Volumes/LaCie/nmdc_data/_emp500/processed_20251021/4G12_7_36_zaneveld-9-s004-a04.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,Thermo Orbitrap Q-Exactive,4G12_7_36_zaneveld-9-s004-a04.raw,2019-02-10T19:01:58Z,ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE3and4/4G12_7_36_zaneveld-9-s004-a04.raw,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000083475%2Fraw%2FRAW%2FPLATE3and4%2F4G12_7_36_zaneveld-9-s004-a04.raw&forceDownload=true,nmdc:procsm-11-82c7ka98,nmdc:manif-12-y3xvdp79,NMDC,JGI
4C7_3_80_pinto-63-s009-a04.raw,['nmdc:sty-11-547rwq94'],unknown,/Volumes/LaCie/nmdc_data/_emp500/raw/4C7_3_80_pinto-63-s009-a04.raw,/Volumes/LaCie/nmdc_data/_emp500/processed_20251021/4C7_3_80_pinto-63-s009-a04.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,Thermo Orbitrap Q-Exactive,4C7_3_80_pinto-63-s009-a04.raw,2019-02-12T06:56:52Z,ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE3and4/4C7_3_80_pinto-63-s009-a04.raw,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000083475%2Fraw%2FRAW%2FPLATE3and4%2F4C7_3_80_pinto-63-s009-a04.raw&forceDownload=true,nmdc:procsm-11-sg0p7574,nmdc:manif-12-y3xvdp79,NMDC,JGI
4A3_2_17_pinto-63-s016-a03.raw,['nmdc:sty-11-547rwq94'],unknown,/Volumes/LaCie/nmdc_data/_emp500/raw/4A3_2_17_pinto-63-s016-a03.raw,/Volumes/LaCie/nmdc_data/_emp500/processed_20251021/4A3_2_17_pinto-63-s016-a03.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,Thermo Orbitrap Q-Exactive,4A3_2_17_pinto-63-s016-a03.raw,2019-02-12T00:50:48Z,ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE3and4/4A3_2_17_pinto-63-s016-a03.raw,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000083475%2Fraw%2FRAW%2FPLATE3and4%2F4A3_2_17_pinto-63-s016-a03.raw&forceDownload=true,nmdc:procsm-11-bzt5a889,nmdc:manif-12-y3xvdp79,NMDC,JGI
4A2_2_6_pinto-63-s023-a04.raw,['nmdc:sty-11-547rwq94'],unknown,/Volumes/LaCie/nmdc_data/_emp500/raw/4A2_2_6_pinto-63-s023-a04.raw,/Volumes/LaCie/nmdc_data/_emp500/processed_20251021/4A2_2_6_pinto-63-s023-a04.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,Thermo Orbitrap Q-Exactive,4A2_2_6_pinto-63-s023-a04.raw,2019-02-12T00:37:24Z,ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE3and4/4A2_2_6_pinto-63-s023-a04.raw,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000083475%2Fraw%2FRAW%2FPLATE3and4%2F4A2_2_6_pinto-63-s023-a04.raw&forceDownload=true,nmdc:procsm-11-smcgq877,nmdc:manif-12-y3xvdp79,NMDC,JGI
7B12_8_21_song-51-s008-a04.raw,['nmdc:sty-11-547rwq94'],unknown,/Volumes/LaCie/nmdc_data/_emp500/raw/7B12_8_21_song-51-s008-a04.raw,/Volumes/LaCie/nmdc_data/_emp500/processed_20251021/7B12_8_21_song-51-s008-a04.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,Thermo Orbitrap Q-Exactive,7B12_8_21_song-51-s008-a04.raw,2019-02-05T03:21:54Z,ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE7/7B12_8_21_song-51-s008-a04.raw,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000083475%2Fraw%2FRAW%2FPLATE7%2F7B12_8_21_song-51-s008-a04.raw&forceDownload=true,nmdc:procsm-11-pktrwn85,nmdc:manif-12-y3xvdp79,NMDC,JGI
2A4_3_37_jensen-43-s017-a03.raw,['nmdc:sty-11-547rwq94'],unknown,/Volumes/LaCie/nmdc_data/_emp500/raw/2A4_3_37_jensen-43-s017-a03.raw,/Volumes/LaCie/nmdc_data/_emp500/processed_20251021/2A4_3_37_jensen-43-s017-a03.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,Thermo Orbitrap Q-Exactive,2A4_3_37_jensen-43-s017-a03.raw,2019-02-07T04:33:16Z,ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE1and2/2A4_3_37_jensen-43-s017-a03.raw,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000083475%2Fraw%2FRAW%2FPLATE1and2%2F2A4_3_37_jensen-43-s017-a03.raw&forceDownload=true,nmdc:procsm-11-km00tm12,nmdc:manif-12-y3xvdp79,NMDC,JGI
4A1_2_4_pinto-63-s024-a04.raw,['nmdc:sty-11-547rwq94'],unknown,/Volumes/LaCie/nmdc_data/_emp500/raw/4A1_2_4_pinto-63-s024-a04.raw,/Volumes/LaCie/nmdc_data/_emp500/processed_20251021/4A1_2_4_pinto-63-s024-a04.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,Thermo Orbitrap Q-Exactive,4A1_2_4_pinto-63-s024-a04.raw,2019-02-12T00:23:59Z,ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE3and4/4A1_2_4_pinto-63-s024-a04.raw,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000083475%2Fraw%2FRAW%2FPLATE3and4%2F4A1_2_4_pinto-63-s024-a04.raw&forceDownload=true,nmdc:procsm-11-bg9c9658,nmdc:manif-12-y3xvdp79,NMDC,JGI
5C7_3_39_sandin-54-s005-a04.raw,['nmdc:sty-11-547rwq94'],unknown,/Volumes/LaCie/nmdc_data/_emp500/raw/5C7_3_39_sandin-54-s005-a04.raw,/Volumes/LaCie/nmdc_data/_emp500/processed_20251021/5C7_3_39_sandin-54-s005-a04.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,Thermo Orbitrap Q-Exactive,5C7_3_39_sandin-54-s005-a04.raw,2019-02-03T21:28:05Z,ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE5/5C7_3_39_sandin-54-s005-a04.raw,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000083475%2Fraw%2FRAW%2FPLATE5%2F5C7_3_39_sandin-54-s005-a04.raw&forceDownload=true,nmdc:procsm-11-46vwsb32,nmdc:manif-12-y3xvdp79,NMDC,JGI
