biosample_id,raw_data_identifier,processedsample_placeholder,material_processing_protocol_id
nmdc:bsm-11-0pyv7738,nmdc:omprc-11-kxy5fm67,ProcessedSample6_NOM,NOM
nmdc:bsm-11-fxjpfg48,nmdc:omprc-11-skg1ad94,ProcessedSample6_NOM,NOM
nmdc:bsm-11-257rs124,nmdc:omprc-11-gv2da533,ProcessedSample6_NOM,NOM
nmdc:bsm-11-fzgnr608,nmdc:omprc-11-0xbwej56,ProcessedSample6_NOM,NOM
nmdc:bsm-11-3t39zs54,nmdc:omprc-11-h6pfe513,ProcessedSample6_NOM,NOM
nmdc:bsm-11-tptj8973,nmdc:omprc-11-f9jrr820,ProcessedSample6_NOM,NOM
nmdc:bsm-11-g4awg313,nmdc:omprc-11-pde26x56,ProcessedSample6_NOM,NOM
nmdc:bsm-11-jy81gw62,nmdc:omprc-11-aymb4084,ProcessedSample6_NOM,NOM
nmdc:bsm-11-bh9fvn12,nmdc:omprc-11-406tpk79,ProcessedSample6_NOM,NOM
nmdc:bsm-11-db10jb17,nmdc:omprc-11-fvcxv529,ProcessedSample6_NOM,NOM
nmdc:bsm-11-r8w5p337,nmdc:omprc-11-a1wdzs84,ProcessedSample6_NOM,NOM
nmdc:bsm-11-fknbxp34,nmdc:omprc-11-7007c667,ProcessedSample6_NOM,NOM
nmdc:bsm-11-mm9emb03,nmdc:omprc-11-txjfns63,ProcessedSample6_NOM,NOM
nmdc:bsm-11-8bfp0v23,nmdc:omprc-11-x6nvjc10,ProcessedSample6_NOM,NOM
nmdc:bsm-11-tkdcqc15,nmdc:omprc-11-q6c1qm92,ProcessedSample6_NOM,NOM
nmdc:bsm-11-2yz57x63,nmdc:omprc-11-besnj691,ProcessedSample6_NOM,NOM
nmdc:bsm-11-bdvqdz07,nmdc:omprc-11-7t2t4j77,ProcessedSample6_NOM,NOM
nmdc:bsm-11-tea8p723,nmdc:omprc-11-0d78rx47,ProcessedSample6_NOM,NOM
nmdc:bsm-11-erpvhh22,nmdc:omprc-11-9n4hzs05,ProcessedSample6_NOM,NOM
nmdc:bsm-11-byftwh79,nmdc:omprc-11-dg5qke95,ProcessedSample6_NOM,NOM
nmdc:bsm-11-6wrv4m85,nmdc:omprc-11-mh143r25,ProcessedSample6_NOM,NOM
nmdc:bsm-11-168xmm55,nmdc:omprc-11-d9xff911,ProcessedSample6_NOM,NOM
nmdc:bsm-11-qa2yrv97,nmdc:omprc-11-mq3j7549,ProcessedSample6_NOM,NOM
nmdc:bsm-11-kdhyc122,nmdc:omprc-11-3gt6gq13,ProcessedSample6_NOM,NOM
nmdc:bsm-11-yxcsrv80,nmdc:omprc-11-py9ht843,ProcessedSample6_NOM,NOM
nmdc:bsm-11-dt3r5061,nmdc:omprc-11-nsgadk41,ProcessedSample6_NOM,NOM
nmdc:bsm-11-1evk3b45,nmdc:omprc-11-m2jrk874,ProcessedSample6_NOM,NOM
