biosample_id,raw_data_identifier,eluent_introduction_category,processedsample_placeholder,material_processing_protocol_id
nmdc:bsm-11-0ve03274,4C1_3_60_pinto-63-s003-a04.raw,liquid_chromatography,ProcessedSample8_bulk_feces,bulk_feces
nmdc:bsm-11-n5dtbe85,4D10_1_47_thomas-18-s034-a03.raw,liquid_chromatography,ProcessedSample8_bulk_feces,bulk_feces
nmdc:bsm-11-8txch869,4G12_7_36_zaneveld-9-s004-a04.raw,liquid_chromatography,ProcessedSample8_bulk_feces,bulk_feces
nmdc:bsm-11-d088ph59,4C7_3_80_pinto-63-s009-a04.raw,liquid_chromatography,ProcessedSample8_bulk_feces,bulk_feces
nmdc:bsm-11-kbjn8y24,4A3_2_17_pinto-63-s016-a03.raw,liquid_chromatography,ProcessedSample8_bulk_feces,bulk_feces
nmdc:bsm-11-rhmm8j58,4A2_2_6_pinto-63-s023-a04.raw,liquid_chromatography,ProcessedSample8_bulk_feces,bulk_feces
nmdc:bsm-11-vk2m2b53,2A4_3_37_jensen-43-s017-a03.raw,liquid_chromatography,ProcessedSample8_bulk_feces,bulk_feces
nmdc:bsm-11-edac4v19,4A1_2_4_pinto-63-s024-a04.raw,liquid_chromatography,ProcessedSample8_bulk_feces,bulk_feces
nmdc:bsm-11-6wvmnx13,5C7_3_39_sandin-54-s005-a04.raw,liquid_chromatography,ProcessedSample8_bulk_feces,bulk_feces
nmdc:bsm-11-6kwr5c04,1B9_1_31_berry-2-s017-a04.raw,liquid_chromatography,ProcessedSample8_bulk_feces,bulk_feces
nmdc:bsm-11-ehp0qr45,1E11_2_27_bowen-74-s010-a04.raw,liquid_chromatography,ProcessedSample8_bulk_feces,bulk_feces
nmdc:bsm-11-hbzqap28,4D11_1_48_thomas-18-s040-a03.raw,liquid_chromatography,ProcessedSample8_bulk_feces,bulk_feces
nmdc:bsm-11-k47vb326,4B2_2_57_pinto-63-s021-a04.raw,liquid_chromatography,ProcessedSample8_bulk_feces,bulk_feces
nmdc:bsm-11-pnk53a41,5A3_2_9_angenent-65-s002-a04.raw,liquid_chromatography,ProcessedSample8_bulk_feces,bulk_feces
nmdc:bsm-11-fc8rcc81,4E3_1_58_thomas-18-s032-a04.raw,liquid_chromatography,ProcessedSample8_bulk_feces,bulk_feces
nmdc:bsm-11-jztbkk08,4B8_3_35_pinto-63-s004-a04.raw,liquid_chromatography,ProcessedSample8_bulk_feces,bulk_feces
nmdc:bsm-11-yjactw44,2B2_3_49_jensen-43-s014-a03.raw,liquid_chromatography,ProcessedSample8_bulk_feces,bulk_feces
nmdc:bsm-11-hx5a6080,4D1_1_16_thomas-18-s031-a04.raw,liquid_chromatography,ProcessedSample8_bulk_feces,bulk_feces
nmdc:bsm-11-851ejn28,4B3_2_65_pinto-63-s017-a03.raw,liquid_chromatography,ProcessedSample8_bulk_feces,bulk_feces
nmdc:bsm-11-74x7mx45,4D4_1_24_thomas-18-s033-a03.raw,liquid_chromatography,ProcessedSample8_bulk_feces,bulk_feces
