biosample_id,associated_study,raw_data_file,processed_data_file,calibration_file,mass_spec_configuration_name,chromat_configuration_name,instrument_used,processing_institution,instrument_analysis_start_date,instrument_analysis_end_date,execution_resource,gold_id
nmdc:bsm-11-t23xm067,nmdc:sty-11-547rwq94,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/EMP_Feces_berry_2_s011_a03_M_001.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/processed_20250212EMP_Feces_berry_2_s011_a03_M_001.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/GCMS_FAMEs_01_GCMS02_20180907.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,2018-09-07 16:23:00,2018-09-07 17:00:29,EMSL-RZR,Gb0315750
nmdc:bsm-11-x5xj6p33,nmdc:sty-11-547rwq94,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/EMP_Feces_berry_2_s020_a03_M_002.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/processed_20250212EMP_Feces_berry_2_s020_a03_M_002.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/GCMS_FAMEs_01_GCMS02_20180907.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,2018-09-07 17:06:00,2018-09-07 17:43:29,EMSL-RZR,Gb0315773
nmdc:bsm-11-axfff262,nmdc:sty-11-547rwq94,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/EMP_Feces_berry_2_s014_a03_M_003.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/processed_20250212EMP_Feces_berry_2_s014_a03_M_003.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/GCMS_FAMEs_01_GCMS02_20180907.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,2018-09-07 17:49:00,2018-09-07 18:26:29,EMSL-RZR,Gb0315760
nmdc:bsm-11-fzefgn43,nmdc:sty-11-547rwq94,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/EMP_Feces_berry_2_s015_a03_M_004.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/processed_20250212EMP_Feces_berry_2_s015_a03_M_004.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/GCMS_FAMEs_01_GCMS02_20180907.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,2018-09-07 18:31:00,2018-09-07 19:08:29,EMSL-RZR,Gb0315771
nmdc:bsm-11-qp9m2b62,nmdc:sty-11-547rwq94,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/EMP_Feces_berry_2_s016_a03_M_005.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/processed_20250212EMP_Feces_berry_2_s016_a03_M_005.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/GCMS_FAMEs_01_GCMS02_20180907.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,2018-09-07 19:14:00,2018-09-07 19:51:29,EMSL-RZR,Gb0315761
nmdc:bsm-11-6kwr5c04,nmdc:sty-11-547rwq94,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/EMP_Feces_berry_2_s017_a03_M_006.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/processed_20250212EMP_Feces_berry_2_s017_a03_M_006.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/GCMS_FAMEs_01_GCMS02_20180907.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,2018-09-07 19:56:00,2018-09-07 20:33:29,EMSL-RZR,Gb0315762
nmdc:bsm-11-dk398583,nmdc:sty-11-547rwq94,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/EMP_Feces_berry_2_s018_a03_M_007.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/processed_20250212EMP_Feces_berry_2_s018_a03_M_007.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/GCMS_FAMEs_01_GCMS02_20180907.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,2018-09-07 20:39:00,2018-09-07 21:16:29,EMSL-RZR,Gb0315772
nmdc:bsm-11-2c8r9c97,nmdc:sty-11-547rwq94,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/EMP_Feces_berry_2_s019_a03_M_008.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/processed_20250212EMP_Feces_berry_2_s019_a03_M_008.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/GCMS_FAMEs_01_GCMS02_20180907.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,2018-09-07 21:21:00,2018-09-07 21:58:29,EMSL-RZR,Gb0315751
nmdc:bsm-12-k5b65g89,nmdc:sty-11-547rwq94,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/EMP_Feces_zaneveld_9_s001_a03_M_009.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/processed_20250212EMP_Feces_zaneveld_9_s001_a03_M_009.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/GCMS_FAMEs_01_GCMS02_20180907.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,2018-09-07 22:04:00,2018-09-07 22:41:29,EMSL-RZR,Gb0297379
nmdc:bsm-12-fbz36602,nmdc:sty-11-547rwq94,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/EMP_Feces_zaneveld_9_s002_a03_M_010.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/processed_20250212EMP_Feces_zaneveld_9_s002_a03_M_010.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/GCMS_FAMEs_01_GCMS02_20180907.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,2018-09-07 22:46:00,2018-09-07 23:23:29,EMSL-RZR,Gb0297459
nmdc:bsm-12-97y3k694,nmdc:sty-11-547rwq94,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/EMP_Feces_zaneveld_9_s004_a03_M_011.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/processed_20250212EMP_Feces_zaneveld_9_s004_a03_M_011.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/GCMS_FAMEs_01_GCMS02_20180907.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,2018-09-07 23:29:00,2018-09-08 00:06:29,EMSL-RZR,Gb0297461
nmdc:bsm-12-fhtah944,nmdc:sty-11-547rwq94,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/EMP_Feces_zaneveld_9_s005_a03_M_012.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/processed_20250212EMP_Feces_zaneveld_9_s005_a03_M_012.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/GCMS_FAMEs_01_GCMS02_20180907.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,2018-09-08 00:12:00,2018-09-08 00:49:29,EMSL-RZR,Gb0297360
nmdc:bsm-12-kh7emd34,nmdc:sty-11-547rwq94,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/EMP_Feces_zaneveld_9_s007_a03_M_013.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/processed_20250212EMP_Feces_zaneveld_9_s007_a03_M_013.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/GCMS_FAMEs_01_GCMS02_20180907.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,2018-09-08 00:54:00,2018-09-08 01:31:29,EMSL-RZR,Gb0297362
nmdc:bsm-12-4ra2yy40,nmdc:sty-11-547rwq94,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/EMP_Feces_zaneveld_9_s008_a03_M_014.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/processed_20250212EMP_Feces_zaneveld_9_s008_a03_M_014.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/GCMS_FAMEs_01_GCMS02_20180907.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,2018-09-08 01:37:00,2018-09-08 02:14:29,EMSL-RZR,Gb0297462
nmdc:bsm-12-vndwtt70,nmdc:sty-11-547rwq94,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/EMP_Feces_zaneveld_9_s010_a03_M_015.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/processed_20250212EMP_Feces_zaneveld_9_s010_a03_M_015.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/GCMS_FAMEs_01_GCMS02_20180907.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,2018-09-08 02:19:00,2018-09-08 02:56:29,EMSL-RZR,Gb0297464
nmdc:bsm-12-m88n3r42,nmdc:sty-11-547rwq94,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/EMP_Feces_zaneveld_9_s011_a03_M_016.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/processed_20250212EMP_Feces_zaneveld_9_s011_a03_M_016.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/GCMS_FAMEs_01_GCMS02_20180907.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,2018-09-08 03:02:00,2018-09-08 03:39:29,EMSL-RZR,Gb0297363
nmdc:bsm-12-gwrqcs10,nmdc:sty-11-547rwq94,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/EMP_Feces_zaneveld_9_s013_a03_M_017.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/processed_20250212EMP_Feces_zaneveld_9_s013_a03_M_017.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/GCMS_FAMEs_01_GCMS02_20180907.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,2018-09-08 03:45:00,2018-09-08 04:22:29,EMSL-RZR,Gb0297465
nmdc:bsm-12-7jfwtw09,nmdc:sty-11-547rwq94,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/EMP_Feces_zaneveld_9_s014_a03_M_018.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/processed_20250212EMP_Feces_zaneveld_9_s014_a03_M_018.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/GCMS_FAMEs_01_GCMS02_20180907.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,2018-09-08 04:27:00,2018-09-08 05:04:29,EMSL-RZR,Gb0297364
nmdc:bsm-12-7w87zv48,nmdc:sty-11-547rwq94,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/EMP_Feces_zaneveld_9_s015_a03_M_019.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/processed_20250212EMP_Feces_zaneveld_9_s015_a03_M_019.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/GCMS_FAMEs_01_GCMS02_20180907.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,2018-09-08 05:10:00,2018-09-08 05:47:29,EMSL-RZR,Gb0297466
nmdc:bsm-12-a5r18j89,nmdc:sty-11-547rwq94,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/EMP_Feces_zaneveld_9_s016_a03_M_020.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/processed_20250212EMP_Feces_zaneveld_9_s016_a03_M_020.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/GCMS_FAMEs_01_GCMS02_20180907.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,2018-09-08 05:52:00,2018-09-08 06:29:29,EMSL-RZR,Gb0297467
nmdc:bsm-12-2w2y0577,nmdc:sty-11-547rwq94,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/EMP_Feces_zaneveld_9_s017_a03_M_021.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/processed_20250212EMP_Feces_zaneveld_9_s017_a03_M_021.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/GCMS_FAMEs_01_GCMS02_20180907.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,2018-09-08 06:35:00,2018-09-08 07:12:29,EMSL-RZR,Gb0297365
nmdc:bsm-12-zwb3jg52,nmdc:sty-11-547rwq94,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/EMP_Feces_zaneveld_9_s018_a03_M_022.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/processed_20250212EMP_Feces_zaneveld_9_s018_a03_M_022.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/GCMS_FAMEs_01_GCMS02_20180907.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,2018-09-08 07:17:00,2018-09-08 07:54:29,EMSL-RZR,Gb0297468
nmdc:bsm-12-vxb51d66,nmdc:sty-11-547rwq94,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/EMP_Feces_zaneveld_9_s019_a03_M_023.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/processed_20250212EMP_Feces_zaneveld_9_s019_a03_M_023.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/GCMS_FAMEs_01_GCMS02_20180907.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,2018-09-08 08:00:00,2018-09-08 08:37:29,EMSL-RZR,Gb0297469
nmdc:bsm-12-y85f7t37,nmdc:sty-11-547rwq94,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/EMP_Feces_zaneveld_9_s020_a03_M_024.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/processed_20250212EMP_Feces_zaneveld_9_s020_a03_M_024.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/GCMS_FAMEs_01_GCMS02_20180907.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,2018-09-08 08:43:00,2018-09-08 09:20:29,EMSL-RZR,Gb0297470
nmdc:bsm-11-cnwpfb50,nmdc:sty-11-547rwq94,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/EMP_Feces_thomas_18_s001_a03_M_025.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/processed_20250212EMP_Feces_thomas_18_s001_a03_M_025.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/GCMS_FAMEs_01_GCMS02_20180907.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,2018-09-08 09:25:00,2018-09-08 10:02:29,EMSL-RZR,Gb0315801
