raw_data_identifier,biosample_id,biosample_name,material_processing_protocol_id,match_confidence,processedsample_placeholder
60009_Miesel_ABBY_22_Pro_f01_4July23_Arwen_WBEH-23-03-03.raw,nmdc:bsm-11-xjd8t932,EMSL 1 ABBY_A_PRE_NotGr_NA_NA,Proteomics,high,ProcessedSample8_Prot
60009_Miesel_ABBY_22_Pro_f02_4July23_Arwen_WBEH-23-03-03.raw,nmdc:bsm-11-xjd8t932,EMSL 1 ABBY_A_PRE_NotGr_NA_NA,Proteomics,high,ProcessedSample9_Prot
60009_Miesel_ABBY_22_Pro_f03_4July23_Arwen_WBEH-23-03-03.raw,nmdc:bsm-11-xjd8t932,EMSL 1 ABBY_A_PRE_NotGr_NA_NA,Proteomics,high,ProcessedSample10_Prot
60009_Miesel_ABBY_22_Pro_f04_4July23_Arwen_WBEH-23-03-03.raw,nmdc:bsm-11-xjd8t932,EMSL 1 ABBY_A_PRE_NotGr_NA_NA,Proteomics,high,ProcessedSample11_Prot
60009_Miesel_ABBY_22_Pro_f05_4July23_Arwen_WBEH-23-03-03.raw,nmdc:bsm-11-xjd8t932,EMSL 1 ABBY_A_PRE_NotGr_NA_NA,Proteomics,high,ProcessedSample12_Prot
60009_Miesel_ABBY_22_Pro_f06_4July23_Arwen_WBEH-23-03-03.raw,nmdc:bsm-11-xjd8t932,EMSL 1 ABBY_A_PRE_NotGr_NA_NA,Proteomics,high,ProcessedSample13_Prot
60009_Miesel_ABBY_whole_22_02Oct23_Pippin_WBEH-23-05-17.raw,nmdc:bsm-11-xjd8t932,EMSL 1 ABBY_A_PRE_NotGr_NA_NA,Proteomics,high,ProcessedSample7_Prot
60009_Miesel_BARR_25_Pro_f01_12July23_Arwen_WBEH-23-03-03.raw,nmdc:bsm-11-pmcm6s22,EMSL 2 BARR_Oaf_PRE_NotGr_NA_NA,Proteomics,high,ProcessedSample8_Prot
60009_Miesel_BARR_25_Pro_f02_12July23_Arwen_WBEH-23-03-03.raw,nmdc:bsm-11-pmcm6s22,EMSL 2 BARR_Oaf_PRE_NotGr_NA_NA,Proteomics,high,ProcessedSample9_Prot
60009_Miesel_BARR_25_Pro_f03_12July23_Arwen_WBEH-23-03-03.raw,nmdc:bsm-11-pmcm6s22,EMSL 2 BARR_Oaf_PRE_NotGr_NA_NA,Proteomics,high,ProcessedSample10_Prot
60009_Miesel_BARR_25_Pro_f04_12July23_Arwen_WBEH-23-03-03.raw,nmdc:bsm-11-pmcm6s22,EMSL 2 BARR_Oaf_PRE_NotGr_NA_NA,Proteomics,high,ProcessedSample11_Prot
60009_Miesel_BARR_25_Pro_f05_12July23_Arwen_WBEH-23-03-03.raw,nmdc:bsm-11-pmcm6s22,EMSL 2 BARR_Oaf_PRE_NotGr_NA_NA,Proteomics,high,ProcessedSample12_Prot
60009_Miesel_BARR_25_Pro_f06_12July23_Arwen_WBEH-23-03-03.raw,nmdc:bsm-11-pmcm6s22,EMSL 2 BARR_Oaf_PRE_NotGr_NA_NA,Proteomics,high,ProcessedSample13_Prot
60009_Miesel_BARR_whole_25_02Oct23_Pippin_WBEH-23-05-17.raw,nmdc:bsm-11-pmcm6s22,EMSL 2 BARR_Oaf_PRE_NotGr_NA_NA,Proteomics,high,ProcessedSample7_Prot
60009_Miesel_BLAN_07_Pro_f01_16Jun23_Arwen_WBEH-unknown.raw,nmdc:bsm-11-dgpxax84,EMSL 3 BLAN_Ap1_PRE_NotGr_NA_NA,Proteomics,high,ProcessedSample8_Prot
60009_Miesel_BLAN_07_Pro_f02_16Jun23_Arwen_WBEH-unknown.raw,nmdc:bsm-11-dgpxax84,EMSL 3 BLAN_Ap1_PRE_NotGr_NA_NA,Proteomics,high,ProcessedSample9_Prot
60009_Miesel_BLAN_07_Pro_f03_16Jun23_Arwen_WBEH-unknown.raw,nmdc:bsm-11-dgpxax84,EMSL 3 BLAN_Ap1_PRE_NotGr_NA_NA,Proteomics,high,ProcessedSample10_Prot
60009_Miesel_BLAN_07_Pro_f04_16Jun23_Arwen_WBEH-unknown.raw,nmdc:bsm-11-dgpxax84,EMSL 3 BLAN_Ap1_PRE_NotGr_NA_NA,Proteomics,high,ProcessedSample11_Prot
60009_Miesel_BLAN_07_Pro_f05_16Jun23_Arwen_WBEH-unknown.raw,nmdc:bsm-11-dgpxax84,EMSL 3 BLAN_Ap1_PRE_NotGr_NA_NA,Proteomics,high,ProcessedSample12_Prot
60009_Miesel_BLAN_07_Pro_f06_16Jun23_Arwen_WBEH-unknown.raw,nmdc:bsm-11-dgpxax84,EMSL 3 BLAN_Ap1_PRE_NotGr_NA_NA,Proteomics,high,ProcessedSample13_Prot
60009_Miesel_BLAN_whole_07_30Sep23_Pippin_WBEH-23-05-17.raw,nmdc:bsm-11-dgpxax84,EMSL 3 BLAN_Ap1_PRE_NotGr_NA_NA,Proteomics,high,ProcessedSample7_Prot
60009_Miesel_BONA_26_Pro_f01_12July23_Arwen_WBEH-23-03-03.raw,nmdc:bsm-11-447q1c62,EMSL 4 BONA_Oea_PRE_NotGr_NA_NA,Proteomics,high,ProcessedSample8_Prot
60009_Miesel_BONA_26_Pro_f02_12July23_Arwen_WBEH-23-03-03.raw,nmdc:bsm-11-447q1c62,EMSL 4 BONA_Oea_PRE_NotGr_NA_NA,Proteomics,high,ProcessedSample9_Prot
60009_Miesel_BONA_26_Pro_f03_12July23_Arwen_WBEH-23-03-03.raw,nmdc:bsm-11-447q1c62,EMSL 4 BONA_Oea_PRE_NotGr_NA_NA,Proteomics,high,ProcessedSample10_Prot
60009_Miesel_BONA_26_Pro_f04_12July23_Arwen_WBEH-23-03-03.raw,nmdc:bsm-11-447q1c62,EMSL 4 BONA_Oea_PRE_NotGr_NA_NA,Proteomics,high,ProcessedSample11_Prot
60009_Miesel_BONA_26_Pro_f05_12July23_Arwen_WBEH-23-03-03.raw,nmdc:bsm-11-447q1c62,EMSL 4 BONA_Oea_PRE_NotGr_NA_NA,Proteomics,high,ProcessedSample12_Prot
60009_Miesel_BONA_26_Pro_f06_12July23_Arwen_WBEH-23-03-03.raw,nmdc:bsm-11-447q1c62,EMSL 4 BONA_Oea_PRE_NotGr_NA_NA,Proteomics,high,ProcessedSample13_Prot
60009_Miesel_BONA_whole_26_02Oct23_Pippin_WBEH-23-05-17.raw,nmdc:bsm-11-447q1c62,EMSL 4 BONA_Oea_PRE_NotGr_NA_NA,Proteomics,high,ProcessedSample7_Prot
60009_Miesel_CLBJ_06_Pro_f01_16Jun23_Arwen_WBEH-unknown.raw,nmdc:bsm-11-hb183j67,EMSL 5 CLBJ_A1_PRE_NotGr_NA_NA,Proteomics,high,ProcessedSample8_Prot
60009_Miesel_CLBJ_06_Pro_f02_16Jun23_Arwen_WBEH-unknown.raw,nmdc:bsm-11-hb183j67,EMSL 5 CLBJ_A1_PRE_NotGr_NA_NA,Proteomics,high,ProcessedSample9_Prot
60009_Miesel_CLBJ_06_Pro_f03_16Jun23_Arwen_WBEH-unknown.raw,nmdc:bsm-11-hb183j67,EMSL 5 CLBJ_A1_PRE_NotGr_NA_NA,Proteomics,high,ProcessedSample10_Prot
60009_Miesel_CLBJ_06_Pro_f04_16Jun23_Arwen_WBEH-unknown.raw,nmdc:bsm-11-hb183j67,EMSL 5 CLBJ_A1_PRE_NotGr_NA_NA,Proteomics,high,ProcessedSample11_Prot
60009_Miesel_CLBJ_06_Pro_f05_16Jun23_Arwen_WBEH-unknown.raw,nmdc:bsm-11-hb183j67,EMSL 5 CLBJ_A1_PRE_NotGr_NA_NA,Proteomics,high,ProcessedSample12_Prot
60009_Miesel_CLBJ_06_Pro_f06_16Jun23_Arwen_WBEH-unknown.raw,nmdc:bsm-11-hb183j67,EMSL 5 CLBJ_A1_PRE_NotGr_NA_NA,Proteomics,high,ProcessedSample13_Prot
60009_Miesel_CLBJ_whole_06_30Sep23_Pippin_WBEH-23-05-17.raw,nmdc:bsm-11-hb183j67,EMSL 5 CLBJ_A1_PRE_NotGr_NA_NA,Proteomics,high,ProcessedSample7_Prot
60009_Miesel_CPER_04_Pro_f01_12Jun23_Arwen_WBEH-unknown.raw,nmdc:bsm-11-kfxsah36,EMSL 6 CPER_A1_PRE_NotGr_NA_NA,Proteomics,high,ProcessedSample8_Prot
60009_Miesel_CPER_04_Pro_f02_12Jun23_Arwen_WBEH-unknown.raw,nmdc:bsm-11-kfxsah36,EMSL 6 CPER_A1_PRE_NotGr_NA_NA,Proteomics,high,ProcessedSample9_Prot
