raw_data_identifier,biosample_id,biosample_name,match_confidence,processedsample_placeholder,material_processing_protocol_id
1000s_ANZA_FTMS_SPE_BTM_1_29Oct22_Mag_300SA_p025_167_1_7117.zip,nmdc:bsm-11-yj9yav68,1000 soils - ANZA_CoreB_BTM,high,ProcessedSample5_NOM,NOM
1000s_ANZA_FTMS_SPE_BTM_2_29Oct22_Mag_300SA_p025_131_1_7081.zip,nmdc:bsm-11-yj9yav68,1000 soils - ANZA_CoreB_BTM,high,ProcessedSample7_NOM,NOM
1000s_ANZA_FTMS_SPE_BTM_3_25Oct22_Mag_300SA_p025_57_1_6970.zip,nmdc:bsm-11-yj9yav68,1000 soils - ANZA_CoreB_BTM,high,ProcessedSample9_NOM,NOM
1000s_ANZA_FTMS_SPE_TOP_1_29Oct22_Mag_300SA_p025_157_1_7107.zip,nmdc:bsm-11-q5nxet10,1000 soils - ANZA_CoreB_TOP,high,ProcessedSample5_NOM,NOM
1000s_ANZA_FTMS_SPE_TOP_2_29Oct22_Mag_300SA_p025_142_1_7092.zip,nmdc:bsm-11-q5nxet10,1000 soils - ANZA_CoreB_TOP,high,ProcessedSample7_NOM,NOM
1000s_ANZA_FTMS_SPE_TOP_3_25Oct22_Mag_300SA_p025_77_1_6990.zip,nmdc:bsm-11-q5nxet10,1000 soils - ANZA_CoreB_TOP,high,ProcessedSample9_NOM,NOM
1000s_BLAN_FTMS_SPE_BTM_1_29Oct22_Mag_300SA_p025_173_1_7123.zip,nmdc:bsm-11-0rqs8455,1000 soils - BLAN_CoreB_BTM,high,ProcessedSample5_NOM,NOM
1000s_BLAN_FTMS_SPE_BTM_2_29Oct22_Mag_300SA_p025_149_1_7099.zip,nmdc:bsm-11-0rqs8455,1000 soils - BLAN_CoreB_BTM,high,ProcessedSample7_NOM,NOM
1000s_BLAN_FTMS_SPE_BTM_3_rr_28Oct22_Mag_300SA_p025_147_1_7060.zip,nmdc:bsm-11-0rqs8455,1000 soils - BLAN_CoreB_BTM,high,ProcessedSample9_NOM,NOM
1000s_BLAN_FTMS_SPE_TOP_1_29Oct22_Mag_300SA_p025_162_1_7112.zip,nmdc:bsm-11-bv04t608,1000 soils - BLAN_CoreB_TOP,high,ProcessedSample5_NOM,NOM
1000s_BLAN_FTMS_SPE_TOP_2_29Oct22_Mag_300SA_p025_141_1_7091.zip,nmdc:bsm-11-bv04t608,1000 soils - BLAN_CoreB_TOP,high,ProcessedSample7_NOM,NOM
1000s_BLAN_FTMS_SPE_TOP_3_29Oct22_Mag_300SA_p025_170_1_7120.zip,nmdc:bsm-11-bv04t608,1000 soils - BLAN_CoreB_TOP,high,ProcessedSample9_NOM,NOM
1000S_CFS1_FTMS_SPE_BTM_1_run1_Fir_22Apr22_300SA_p01_19_1_3376.zip,nmdc:bsm-11-ny4dem76,1000 soils - CFS1_CoreB_BTM,high,ProcessedSample5_NOM,NOM
1000S_CFS1_FTMS_SPE_BTM_1_run2_Fir_22Apr22_300SA_p01_99_1_3456.zip,nmdc:bsm-11-ny4dem76,1000 soils - CFS1_CoreB_BTM,high,ProcessedSample5_NOM,NOM
1000S_CFS1_FTMS_SPE_BTM_2_run1_Fir_22Apr22_300SA_p01_47_1_3404.zip,nmdc:bsm-11-ny4dem76,1000 soils - CFS1_CoreB_BTM,high,ProcessedSample7_NOM,NOM
1000S_CFS1_FTMS_SPE_BTM_2_run2_Fir_22Apr22_300SA_p01_143_1_3500.zip,nmdc:bsm-11-ny4dem76,1000 soils - CFS1_CoreB_BTM,high,ProcessedSample7_NOM,NOM
1000S_CFS1_FTMS_SPE_BTM_3_run1_Fir_25Apr22_300SA_p01_1_1_3515.zip,nmdc:bsm-11-ny4dem76,1000 soils - CFS1_CoreB_BTM,high,ProcessedSample9_NOM,NOM
1000S_CFS1_FTMS_SPE_BTM_3_run2_Fir_26Apr22_300SA_p01_6_1_3597.zip,nmdc:bsm-11-ny4dem76,1000 soils - CFS1_CoreB_BTM,high,ProcessedSample9_NOM,NOM
1000S_CFS1_FTMS_SPE_TOP_1_run1_Fir_22Apr22_300SA_p01_29_1_3386.zip,nmdc:bsm-11-fwfrgb81,1000 soils - CFS1_CoreB_TOP,high,ProcessedSample5_NOM,NOM
1000S_CFS1_FTMS_SPE_TOP_1_run2_Fir_22Apr22_300SA_p01_144_1_3501.zip,nmdc:bsm-11-fwfrgb81,1000 soils - CFS1_CoreB_TOP,high,ProcessedSample5_NOM,NOM
1000S_CFS1_FTMS_SPE_TOP_2_run1_Fir_22Apr22_300SA_p01_13_1_3370.zip,nmdc:bsm-11-fwfrgb81,1000 soils - CFS1_CoreB_TOP,high,ProcessedSample7_NOM,NOM
1000S_CFS1_FTMS_SPE_TOP_2_run2_Fir_22Apr22_300SA_p01_104_1_3461.zip,nmdc:bsm-11-fwfrgb81,1000 soils - CFS1_CoreB_TOP,high,ProcessedSample7_NOM,NOM
1000S_CFS1_FTMS_SPE_TOP_3_run1_Fir_25Apr22_300SA_p01_1_1_3522.zip,nmdc:bsm-11-fwfrgb81,1000 soils - CFS1_CoreB_TOP,high,ProcessedSample9_NOM,NOM
1000S_CFS1_FTMS_SPE_TOP_3_run2_Fir_27Apr22_300SA_p01_1_1_3613.zip,nmdc:bsm-11-fwfrgb81,1000 soils - CFS1_CoreB_TOP,high,ProcessedSample9_NOM,NOM
1000S_CFS2_FTMS_SPE_BTM_1_run1_Fir_22Apr22_300SA_p01_11_1_3368.zip,nmdc:bsm-11-fdasx159,1000 soils - CFS2_CoreB_BTM,high,ProcessedSample5_NOM,NOM
1000S_CFS2_FTMS_SPE_BTM_1_run2_Fir_22Apr22_300SA_p01_107_1_3464.zip,nmdc:bsm-11-fdasx159,1000 soils - CFS2_CoreB_BTM,high,ProcessedSample5_NOM,NOM
1000S_CFS2_FTMS_SPE_BTM_2_run1_Fir_22Apr22_300SA_p01_45_1_3402.zip,nmdc:bsm-11-fdasx159,1000 soils - CFS2_CoreB_BTM,high,ProcessedSample7_NOM,NOM
1000S_CFS2_FTMS_SPE_BTM_2_run2_Fir_22Apr22_300SA_p01_133_1_3490.zip,nmdc:bsm-11-fdasx159,1000 soils - CFS2_CoreB_BTM,high,ProcessedSample7_NOM,NOM
1000S_CFS2_FTMS_SPE_BTM_3_run1_Fir_22Apr22_300SA_p01_22_1_3379.zip,nmdc:bsm-11-fdasx159,1000 soils - CFS2_CoreB_BTM,high,ProcessedSample9_NOM,NOM
1000S_CFS2_FTMS_SPE_BTM_3_run2_Fir_22Apr22_300SA_p01_96_1_3453.zip,nmdc:bsm-11-fdasx159,1000 soils - CFS2_CoreB_BTM,high,ProcessedSample9_NOM,NOM
1000S_CFS2_FTMS_SPE_TOP_1_run1_Fir_22Apr22_300SA_p01_9_1_3366.zip,nmdc:bsm-11-e3m5pt51,1000 soils - CFS2_CoreB_TOP,high,ProcessedSample5_NOM,NOM
1000S_CFS2_FTMS_SPE_TOP_1_run2_Fir_22Apr22_300SA_p01_98_1_3455.zip,nmdc:bsm-11-e3m5pt51,1000 soils - CFS2_CoreB_TOP,high,ProcessedSample5_NOM,NOM
1000S_CFS2_FTMS_SPE_TOP_2_run1_Fir_22Apr22_300SA_p01_12_1_3369.zip,nmdc:bsm-11-e3m5pt51,1000 soils - CFS2_CoreB_TOP,high,ProcessedSample7_NOM,NOM
1000S_CFS2_FTMS_SPE_TOP_2_run2_Fir_22Apr22_300SA_p01_95_1_3452.zip,nmdc:bsm-11-e3m5pt51,1000 soils - CFS2_CoreB_TOP,high,ProcessedSample7_NOM,NOM
1000S_CFS2_FTMS_SPE_TOP_3_run1_Fir_22Apr22_300SA_p01_14_1_3371.zip,nmdc:bsm-11-e3m5pt51,1000 soils - CFS2_CoreB_TOP,high,ProcessedSample9_NOM,NOM
1000S_CFS2_FTMS_SPE_TOP_3_run2_Fir_22Apr22_300SA_p01_110_1_3467.zip,nmdc:bsm-11-e3m5pt51,1000 soils - CFS2_CoreB_TOP,high,ProcessedSample9_NOM,NOM
1000s_CLBJ_FTMS_SPE_BTM_1_29Oct22_Mag_300SA_p025_132_1_7082.zip,nmdc:bsm-11-b3hers67,1000 soils - CLBJ_CoreB_BTM,high,ProcessedSample5_NOM,NOM
1000s_CLBJ_FTMS_SPE_BTM_2_25Oct22_Mag_300SA_p025_60_1_6973.zip,nmdc:bsm-11-b3hers67,1000 soils - CLBJ_CoreB_BTM,high,ProcessedSample7_NOM,NOM
1000s_CLBJ_FTMS_SPE_BTM_3_29Oct22_Mag_300SA_p025_175_1_7125.zip,nmdc:bsm-11-b3hers67,1000 soils - CLBJ_CoreB_BTM,high,ProcessedSample9_NOM,NOM
1000s_CLBJ_FTMS_SPE_TOP_1_31Oct22_Mag_300SA_p025_149_1_7162.zip,nmdc:bsm-11-3m02xs65,1000 soils - CLBJ_CoreB_TOP,high,ProcessedSample5_NOM,NOM
1000s_CLBJ_FTMS_SPE_TOP_2_25Oct22_Mag_300SA_p025_95_1_7008.zip,nmdc:bsm-11-3m02xs65,1000 soils - CLBJ_CoreB_TOP,high,ProcessedSample7_NOM,NOM
1000s_CLBJ_FTMS_SPE_TOP_3_25Oct22_Mag_300SA_p025_84_1_6997.zip,nmdc:bsm-11-3m02xs65,1000 soils - CLBJ_CoreB_TOP,high,ProcessedSample9_NOM,NOM
1000s_CPER_FTMS_SPE_TOP_1_29Oct22_Mag_300SA_p025_139_1_7089.zip,nmdc:bsm-11-znb2tv24,1000 soils - CPER_CoreB_TOP,high,ProcessedSample5_NOM,NOM
1000s_CPER_FTMS_SPE_TOP_2_29Oct22_Mag_300SA_p025_165_1_7115.zip,nmdc:bsm-11-znb2tv24,1000 soils - CPER_CoreB_TOP,high,ProcessedSample7_NOM,NOM
1000s_CPER_FTMS_SPE_TOP_3_29Oct22_Mag_300SA_p025_123_1_7073.zip,nmdc:bsm-11-znb2tv24,1000 soils - CPER_CoreB_TOP,high,ProcessedSample9_NOM,NOM
1000s_DCFS_FTMS_SPE_BTM_1_29Oct22_Mag_300SA_p025_159_1_7109.zip,nmdc:bsm-11-h5vzkb24,1000 soils - DCFS_CoreB_BTM,high,ProcessedSample5_NOM,NOM
1000s_DCFS_FTMS_SPE_BTM_2_29Oct22_Mag_300SA_p025_133_1_7083.zip,nmdc:bsm-11-h5vzkb24,1000 soils - DCFS_CoreB_BTM,high,ProcessedSample7_NOM,NOM
1000s_DCFS_FTMS_SPE_BTM_3_29Oct22_Mag_300SA_p025_172_1_7122.zip,nmdc:bsm-11-h5vzkb24,1000 soils - DCFS_CoreB_BTM,high,ProcessedSample9_NOM,NOM
1000s_DCFS_FTMS_SPE_TOP_1_29Oct22_Mag_300SA_p025_127_1_7077.zip,nmdc:bsm-11-xsrnx267,1000 soils - DCFS_CoreB_TOP,high,ProcessedSample5_NOM,NOM
1000s_DCFS_FTMS_SPE_TOP_2_29Oct22_Mag_300SA_p025_166_1_7116.zip,nmdc:bsm-11-xsrnx267,1000 soils - DCFS_CoreB_TOP,high,ProcessedSample7_NOM,NOM
1000s_DCFS_FTMS_SPE_TOP_3_29Oct22_Mag_300SA_p025_135_1_7085.zip,nmdc:bsm-11-xsrnx267,1000 soils - DCFS_CoreB_TOP,high,ProcessedSample9_NOM,NOM
1000s_DELA_FTMS_SPE_BTM_1_29Oct22_Mag_300SA_p025_169_1_7119.zip,nmdc:bsm-11-de5edv89,1000 soils - DELA_CoreB_BTM,high,ProcessedSample5_NOM,NOM
1000s_DELA_FTMS_SPE_BTM_2_29Oct22_Mag_300SA_p025_129_1_7079.zip,nmdc:bsm-11-de5edv89,1000 soils - DELA_CoreB_BTM,high,ProcessedSample7_NOM,NOM
1000s_DELA_FTMS_SPE_BTM_3_29Oct22_Mag_300SA_p025_164_1_7114.zip,nmdc:bsm-11-de5edv89,1000 soils - DELA_CoreB_BTM,high,ProcessedSample9_NOM,NOM
1000s_DELA_FTMS_SPE_TOP_1_29Oct22_Mag_300SA_p025_177_1_7127.zip,nmdc:bsm-11-yzgc1096,1000 soils - DELA_CoreB_TOP,high,ProcessedSample5_NOM,NOM
1000s_DELA_FTMS_SPE_TOP_2_29Oct22_Mag_300SA_p025_126_1_7076.zip,nmdc:bsm-11-yzgc1096,1000 soils - DELA_CoreB_TOP,high,ProcessedSample7_NOM,NOM
1000s_DELA_FTMS_SPE_TOP_3_29Oct22_Mag_300SA_p025_136_1_7086.zip,nmdc:bsm-11-yzgc1096,1000 soils - DELA_CoreB_TOP,high,ProcessedSample9_NOM,NOM
1000s_DSNY_FTMS_SPE_BTM_1_29Oct22_Mag_300SA_p025_143_1_7093.zip,nmdc:bsm-11-neh0c417,1000 soils - DSNY_CoreB_BTM,high,ProcessedSample5_NOM,NOM
1000s_DSNY_FTMS_SPE_BTM_2_29Oct22_Mag_300SA_p025_158_1_7108.zip,nmdc:bsm-11-neh0c417,1000 soils - DSNY_CoreB_BTM,high,ProcessedSample7_NOM,NOM
1000s_DSNY_FTMS_SPE_BTM_3_29Oct22_Mag_300SA_p025_140_1_7090.zip,nmdc:bsm-11-neh0c417,1000 soils - DSNY_CoreB_BTM,high,ProcessedSample9_NOM,NOM
1000s_DSNY_FTMS_SPE_TOP_1_29Oct22_Mag_300SA_p025_150_1_7100.zip,nmdc:bsm-11-bsf8yq62,1000 soils - DSNY_CoreB_TOP,high,ProcessedSample5_NOM,NOM
1000s_DSNY_FTMS_SPE_TOP_2_29Oct22_Mag_300SA_p025_124_1_7074.zip,nmdc:bsm-11-bsf8yq62,1000 soils - DSNY_CoreB_TOP,high,ProcessedSample7_NOM,NOM
1000s_DSNY_FTMS_SPE_TOP_3_29Oct22_Mag_300SA_p025_179_1_7129.zip,nmdc:bsm-11-bsf8yq62,1000 soils - DSNY_CoreB_TOP,high,ProcessedSample9_NOM,NOM
