biosample_id,raw_data_identifier,processedsample_placeholder,material_processing_protocol_id
nmdc:bsm-11-yj9yav68,1000s_ANZA_FTMS_SPE_BTM_1_29Oct22_Mag_300SA_p025_167_1_7117.zip,ProcessedSample5_NOM,NOM
nmdc:bsm-11-yj9yav68,1000s_ANZA_FTMS_SPE_BTM_2_29Oct22_Mag_300SA_p025_131_1_7081.zip,ProcessedSample7_NOM,NOM
nmdc:bsm-11-yj9yav68,1000s_ANZA_FTMS_SPE_BTM_3_25Oct22_Mag_300SA_p025_57_1_6970.zip,ProcessedSample9_NOM,NOM
nmdc:bsm-11-q5nxet10,1000s_ANZA_FTMS_SPE_TOP_1_29Oct22_Mag_300SA_p025_157_1_7107.zip,ProcessedSample5_NOM,NOM
nmdc:bsm-11-q5nxet10,1000s_ANZA_FTMS_SPE_TOP_2_29Oct22_Mag_300SA_p025_142_1_7092.zip,ProcessedSample7_NOM,NOM
nmdc:bsm-11-q5nxet10,1000s_ANZA_FTMS_SPE_TOP_3_25Oct22_Mag_300SA_p025_77_1_6990.zip,ProcessedSample9_NOM,NOM
nmdc:bsm-11-0rqs8455,1000s_BLAN_FTMS_SPE_BTM_1_29Oct22_Mag_300SA_p025_173_1_7123.zip,ProcessedSample5_NOM,NOM
nmdc:bsm-11-0rqs8455,1000s_BLAN_FTMS_SPE_BTM_2_29Oct22_Mag_300SA_p025_149_1_7099.zip,ProcessedSample7_NOM,NOM
nmdc:bsm-11-0rqs8455,1000s_BLAN_FTMS_SPE_BTM_3_rr_28Oct22_Mag_300SA_p025_147_1_7060.zip,ProcessedSample9_NOM,NOM
nmdc:bsm-11-bv04t608,1000s_BLAN_FTMS_SPE_TOP_1_29Oct22_Mag_300SA_p025_162_1_7112.zip,ProcessedSample5_NOM,NOM
nmdc:bsm-11-bv04t608,1000s_BLAN_FTMS_SPE_TOP_2_29Oct22_Mag_300SA_p025_141_1_7091.zip,ProcessedSample7_NOM,NOM
nmdc:bsm-11-bv04t608,1000s_BLAN_FTMS_SPE_TOP_3_29Oct22_Mag_300SA_p025_170_1_7120.zip,ProcessedSample9_NOM,NOM
nmdc:bsm-11-ny4dem76,1000S_CFS1_FTMS_SPE_BTM_1_run1_Fir_22Apr22_300SA_p01_19_1_3376.zip,ProcessedSample5_NOM,NOM
nmdc:bsm-11-ny4dem76,1000S_CFS1_FTMS_SPE_BTM_1_run2_Fir_22Apr22_300SA_p01_99_1_3456.zip,ProcessedSample5_NOM,NOM
nmdc:bsm-11-ny4dem76,1000S_CFS1_FTMS_SPE_BTM_2_run1_Fir_22Apr22_300SA_p01_47_1_3404.zip,ProcessedSample7_NOM,NOM
