id,samp_name,analysis_type,name,gold_biosample_identifiers,description
nmdc:bsm-11-q5nxet10,ANZA_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - ANZA_CoreB_TOP,[],
nmdc:bsm-11-yj9yav68,ANZA_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - ANZA_CoreB_BTM,[],
nmdc:bsm-11-bv04t608,BLAN_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - BLAN_CoreB_TOP,[],
nmdc:bsm-11-ny4dem76,CFS1_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - CFS1_CoreB_BTM,[],
nmdc:bsm-11-3m02xs65,CLBJ_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - CLBJ_CoreB_TOP,[],
nmdc:bsm-11-0rqs8455,BLAN_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - BLAN_CoreB_BTM,[],
nmdc:bsm-11-e3m5pt51,CFS2_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - CFS2_CoreB_TOP,[],
nmdc:bsm-11-fdasx159,CFS2_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - CFS2_CoreB_BTM,[],
nmdc:bsm-11-znb2tv24,CPER_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - CPER_CoreB_TOP,[],
nmdc:bsm-11-fwfrgb81,CFS1_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - CFS1_CoreB_TOP,[],
nmdc:bsm-11-7sf89k29,CPER_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - CPER_CoreB_BTM,[],
nmdc:bsm-11-b3hers67,CLBJ_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - CLBJ_CoreB_BTM,[],
nmdc:bsm-11-yzgc1096,DELA_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - DELA_CoreB_TOP,[],
nmdc:bsm-11-neh0c417,DSNY_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - DSNY_CoreB_BTM,[],
nmdc:bsm-11-8hdfmk15,FTA3_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - FTA3_CoreB_BTM,['gold:Gb0315283'],"Soil microbial communities from grassland in Ellensburg, Washington, USA; Native Grassland (no burn)"
nmdc:bsm-11-bsf8yq62,DSNY_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - DSNY_CoreB_TOP,[],
nmdc:bsm-11-kvvs2k86,GRSM_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - GRSM_CoreB_BTM,[],
nmdc:bsm-11-6p6mhh86,FTA5_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - FTA5_CoreB_BTM,"['gold:Gb0317117', 'gold:Gb0317111']","Soil microbial communities from grassland in Ellensburg, Washington, USA; burn"
nmdc:bsm-11-6053t429,FTA3_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - FTA3_CoreB_TOP,['gold:Gb0315282'],"Soil microbial communities from grassland in Ellensburg, Washington, USA; Native Grassland (no burn)"
nmdc:bsm-11-nsdfat15,ISCC_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - ISCC_CoreB_BTM,[],
nmdc:bsm-11-6613ay96,FTA5_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - FTA5_CoreB_TOP,['gold:Gb0316253'],"Soil microbial communities from grassland in Ellensburg, Washington, USA"
nmdc:bsm-11-h5vzkb24,DCFS_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - DCFS_CoreB_BTM,[],
nmdc:bsm-11-xsrnx267,DCFS_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - DCFS_CoreB_TOP,[],
nmdc:bsm-11-de5edv89,DELA_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - DELA_CoreB_BTM,[],
nmdc:bsm-11-c74b8k78,HARV_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - HARV_CoreB_TOP,[],
nmdc:bsm-11-hga63938,JERC_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - JERC_CoreB_BTM,[],
nmdc:bsm-11-xgaz2a33,ISNC_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - ISNC_CoreB_BTM,[],
nmdc:bsm-11-kbyn2077,GRSM_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - GRSM_CoreB_TOP,[],
nmdc:bsm-11-n375nj93,KONA_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - KONA_CoreB_BTM,[],
nmdc:bsm-11-m5z2tr74,ISCC_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - ISCC_CoreB_TOP,[],
nmdc:bsm-11-7pze0v39,MLBS_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - MLBS_CoreB_TOP,[],
nmdc:bsm-11-3ksa8g46,MLBS_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - MLBS_CoreB_BTM,[],
nmdc:bsm-11-qezc0h51,MOAB_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - MOAB_CoreB_BTM,[],
