raw_data_file_short,biosample_id,biosample.associated_studies,material_processing_type,raw_data_file,processed_data_directory,mass_spec_configuration_name,chromat_configuration_name,execution_resource,instrument_used,file_name,instrument_analysis_end_date,url
3A1_3_34_mcmahon-21-s010-a03.raw,nmdc:bsm-11-qn97py15,['nmdc:sty-11-547rwq94'],unknown,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/RAW/to_process/3A1_3_34_mcmahon-21-s010-a03.raw,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/processed_20250716/3A1_3_34_mcmahon-21-s010-a03.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL,QExactHF03,3A1_3_34_mcmahon-21-s010-a03.raw,2019-02-09T16:15:16Z,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=/v02/MSV000083475/raw/RAW/PLATE3and4/3A1_3_34_mcmahon-21-s010-a03.rawMSV000083475%2Fraw%2FRAW%2FPLATE3and4%2F3A1_3_34_mcmahon-21-s010-a03.raw&forceDownload=true
3C8_6_26_palenik-42-s019-a02.raw,nmdc:bsm-11-bb1k1c11,['nmdc:sty-11-547rwq94'],unknown,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/RAW/to_process/3C8_6_26_palenik-42-s019-a02.raw,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/processed_20250716/3C8_6_26_palenik-42-s019-a02.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL,QExactHF03,3C8_6_26_palenik-42-s019-a02.raw,2019-02-09T19:40:11Z,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=/v02/MSV000083475/raw/RAW/PLATE3and4/3C8_6_26_palenik-42-s019-a02.rawMSV000083475%2Fraw%2FRAW%2FPLATE3and4%2F3C8_6_26_palenik-42-s019-a02.raw&forceDownload=true
1B12_1_33_metcalf-40-s013-a04.raw,nmdc:bsm-11-h5xk1m91,['nmdc:sty-11-547rwq94'],unknown,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/RAW/to_process/1B12_1_33_metcalf-40-s013-a04.raw,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/processed_20250716/1B12_1_33_metcalf-40-s013-a04.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL,QExactHF03,1B12_1_33_metcalf-40-s013-a04.raw,2019-02-06T03:21:04Z,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=/v02/MSV000083475/raw/RAW/PLATE1and2/1B12_1_33_metcalf-40-s013-a04.rawMSV000083475%2Fraw%2FRAW%2FPLATE1and2%2F1B12_1_33_metcalf-40-s013-a04.raw&forceDownload=true
5E7_4_20_mousseau-88-s015-a02.raw,nmdc:bsm-11-7zqzy682,['nmdc:sty-11-547rwq94'],unknown,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/RAW/to_process/5E7_4_20_mousseau-88-s015-a02.raw,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/processed_20250716/5E7_4_20_mousseau-88-s015-a02.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL,QExactHF03,5E7_4_20_mousseau-88-s015-a02.raw,2019-02-04T05:37:55Z,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=/v02/MSV000083475/raw/RAW/PLATE5/5E7_4_20_mousseau-88-s015-a02.rawMSV000083475%2Fraw%2FRAW%2FPLATE5%2F5E7_4_20_mousseau-88-s015-a02.raw&forceDownload=true
4G6_7_26_zaneveld-9-s007-a04.raw,nmdc:bsm-11-nmwdhj09,['nmdc:sty-11-547rwq94'],unknown,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/RAW/to_process/4G6_7_26_zaneveld-9-s007-a04.raw,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/processed_20250716/4G6_7_26_zaneveld-9-s007-a04.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL,QExactHF03,4G6_7_26_zaneveld-9-s007-a04.raw,2019-02-10T17:41:19Z,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=/v02/MSV000083475/raw/RAW/PLATE3and4/4G6_7_26_zaneveld-9-s007-a04.rawMSV000083475%2Fraw%2FRAW%2FPLATE3and4%2F4G6_7_26_zaneveld-9-s007-a04.raw&forceDownload=true
6D2_5_28_mousseau-88-s086-a02.raw,nmdc:bsm-11-nswkrt94,['nmdc:sty-11-547rwq94'],unknown,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/RAW/to_process/6D2_5_28_mousseau-88-s086-a02.raw,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/processed_20250716/6D2_5_28_mousseau-88-s086-a02.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL,QExactHF03,6D2_5_28_mousseau-88-s086-a02.raw,2019-02-03T08:18:07Z,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=/v02/MSV000083475/raw/RAW/PLATE6/6D2_5_28_mousseau-88-s086-a02.rawMSV000083475%2Fraw%2FRAW%2FPLATE6%2F6D2_5_28_mousseau-88-s086-a02.raw&forceDownload=true
3B2_6_9_palenik-42-s015-a02.raw,nmdc:bsm-11-70jtfq47,['nmdc:sty-11-547rwq94'],unknown,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/RAW/to_process/3B2_6_9_palenik-42-s015-a02.raw,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/processed_20250716/3B2_6_9_palenik-42-s015-a02.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL,QExactHF03,3B2_6_9_palenik-42-s015-a02.raw,2019-02-09T17:49:16Z,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=/v02/MSV000083475/raw/RAW/PLATE3and4/3B2_6_9_palenik-42-s015-a02.rawMSV000083475%2Fraw%2FRAW%2FPLATE3and4%2F3B2_6_9_palenik-42-s015-a02.raw&forceDownload=true
5A6_2_19_angenent-65-s005-a04.raw,nmdc:bsm-11-bsrmnf74,['nmdc:sty-11-547rwq94'],unknown,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/RAW/to_process/5A6_2_19_angenent-65-s005-a04.raw,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/processed_20250716/5A6_2_19_angenent-65-s005-a04.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL,QExactHF03,5A6_2_19_angenent-65-s005-a04.raw,2019-02-03T16:55:55Z,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=/v02/MSV000083475/raw/RAW/PLATE5/5A6_2_19_angenent-65-s005-a04.rawMSV000083475%2Fraw%2FRAW%2FPLATE5%2F5A6_2_19_angenent-65-s005-a04.raw&forceDownload=true
4E1_1_55_thomas-18-s041-a03.raw,nmdc:bsm-11-sfj2b346,['nmdc:sty-11-547rwq94'],unknown,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/RAW/to_process/4E1_1_55_thomas-18-s041-a03.raw,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/processed_20250716/4E1_1_55_thomas-18-s041-a03.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL,QExactHF03,4E1_1_55_thomas-18-s041-a03.raw,2019-02-11T15:35:14Z,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=/v02/MSV000083475/raw/RAW/PLATE3and4/4E1_1_55_thomas-18-s041-a03.rawMSV000083475%2Fraw%2FRAW%2FPLATE3and4%2F4E1_1_55_thomas-18-s041-a03.raw&forceDownload=true
3C5_6_23_palenik-42-s020-a02.raw,nmdc:bsm-11-5xv7p049,['nmdc:sty-11-547rwq94'],unknown,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/RAW/to_process/3C5_6_23_palenik-42-s020-a02.raw,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/processed_20250716/3C5_6_23_palenik-42-s020-a02.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL,QExactHF03,3C5_6_23_palenik-42-s020-a02.raw,2019-02-09T19:26:45Z,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=/v02/MSV000083475/raw/RAW/PLATE3and4/3C5_6_23_palenik-42-s020-a02.rawMSV000083475%2Fraw%2FRAW%2FPLATE3and4%2F3C5_6_23_palenik-42-s020-a02.raw&forceDownload=true
