raw_data_file_short,biosample_id,biosample.associated_studies,material_processing_type,raw_data_file,processed_data_directory,mass_spec_configuration_name,chromat_configuration_name,execution_resource,instrument_used,file_name,instrument_analysis_end_date,url
3A1_3_34_mcmahon-21-s010-a03.raw,nmdc:bsm-11-qn97py15,['nmdc:sty-11-547rwq94'],unknown,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/RAW/to_process/3A1_3_34_mcmahon-21-s010-a03.raw,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/processed/202507/3A1_3_34_mcmahon-21-s010-a03.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,QExactHF03,3A1_3_34_mcmahon-21-s010-a03.raw,2019-02-09T16:15:16Z,wget ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE3and4/3A1_3_34_mcmahon-21-s010-a03.raw
3C8_6_26_palenik-42-s019-a02.raw,nmdc:bsm-11-bb1k1c11,['nmdc:sty-11-547rwq94'],unknown,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/RAW/to_process/3C8_6_26_palenik-42-s019-a02.raw,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/processed/202507/3C8_6_26_palenik-42-s019-a02.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,QExactHF03,3C8_6_26_palenik-42-s019-a02.raw,2019-02-09T19:40:11Z,wget ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE3and4/3C8_6_26_palenik-42-s019-a02.raw
1B12_1_33_metcalf-40-s013-a04.raw,nmdc:bsm-11-h5xk1m91,['nmdc:sty-11-547rwq94'],unknown,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/RAW/to_process/1B12_1_33_metcalf-40-s013-a04.raw,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/processed/202507/1B12_1_33_metcalf-40-s013-a04.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,QExactHF03,1B12_1_33_metcalf-40-s013-a04.raw,2019-02-06T03:21:04Z,wget ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE1and2/1B12_1_33_metcalf-40-s013-a04.raw
5E7_4_20_mousseau-88-s015-a02.raw,nmdc:bsm-11-7zqzy682,['nmdc:sty-11-547rwq94'],unknown,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/RAW/to_process/5E7_4_20_mousseau-88-s015-a02.raw,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/processed/202507/5E7_4_20_mousseau-88-s015-a02.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,QExactHF03,5E7_4_20_mousseau-88-s015-a02.raw,2019-02-04T05:37:55Z,wget ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE5/5E7_4_20_mousseau-88-s015-a02.raw
4G6_7_26_zaneveld-9-s007-a04.raw,nmdc:bsm-11-nmwdhj09,['nmdc:sty-11-547rwq94'],unknown,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/RAW/to_process/4G6_7_26_zaneveld-9-s007-a04.raw,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/processed/202507/4G6_7_26_zaneveld-9-s007-a04.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,QExactHF03,4G6_7_26_zaneveld-9-s007-a04.raw,2019-02-10T17:41:19Z,wget ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE3and4/4G6_7_26_zaneveld-9-s007-a04.raw
6D2_5_28_mousseau-88-s086-a02.raw,nmdc:bsm-11-nswkrt94,['nmdc:sty-11-547rwq94'],unknown,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/RAW/to_process/6D2_5_28_mousseau-88-s086-a02.raw,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/processed/202507/6D2_5_28_mousseau-88-s086-a02.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,QExactHF03,6D2_5_28_mousseau-88-s086-a02.raw,2019-02-03T08:18:07Z,wget ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE6/6D2_5_28_mousseau-88-s086-a02.raw
3B2_6_9_palenik-42-s015-a02.raw,nmdc:bsm-11-70jtfq47,['nmdc:sty-11-547rwq94'],unknown,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/RAW/to_process/3B2_6_9_palenik-42-s015-a02.raw,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/processed/202507/3B2_6_9_palenik-42-s015-a02.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,QExactHF03,3B2_6_9_palenik-42-s015-a02.raw,2019-02-09T17:49:16Z,wget ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE3and4/3B2_6_9_palenik-42-s015-a02.raw
5A6_2_19_angenent-65-s005-a04.raw,nmdc:bsm-11-bsrmnf74,['nmdc:sty-11-547rwq94'],unknown,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/RAW/to_process/5A6_2_19_angenent-65-s005-a04.raw,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/processed/202507/5A6_2_19_angenent-65-s005-a04.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,QExactHF03,5A6_2_19_angenent-65-s005-a04.raw,2019-02-03T16:55:55Z,wget ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE5/5A6_2_19_angenent-65-s005-a04.raw
4E1_1_55_thomas-18-s041-a03.raw,nmdc:bsm-11-sfj2b346,['nmdc:sty-11-547rwq94'],unknown,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/RAW/to_process/4E1_1_55_thomas-18-s041-a03.raw,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/processed/202507/4E1_1_55_thomas-18-s041-a03.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,QExactHF03,4E1_1_55_thomas-18-s041-a03.raw,2019-02-11T15:35:14Z,wget ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE3and4/4E1_1_55_thomas-18-s041-a03.raw
3C5_6_23_palenik-42-s020-a02.raw,nmdc:bsm-11-5xv7p049,['nmdc:sty-11-547rwq94'],unknown,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/RAW/to_process/3C5_6_23_palenik-42-s020-a02.raw,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/processed/202507/3C5_6_23_palenik-42-s020-a02.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,QExactHF03,3C5_6_23_palenik-42-s020-a02.raw,2019-02-09T19:26:45Z,wget ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE3and4/3C5_6_23_palenik-42-s020-a02.raw
6E2_7_14_distel-72-s009-a03.raw,nmdc:bsm-11-mag6n145,['nmdc:sty-11-547rwq94'],unknown,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/RAW/to_process/6E2_7_14_distel-72-s009-a03.raw,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/processed/202507/6E2_7_14_distel-72-s009-a03.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,QExactHF03,6E2_7_14_distel-72-s009-a03.raw,2019-02-03T11:29:23Z,wget ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE6/6E2_7_14_distel-72-s009-a03.raw
2B11_3_72_mayer-33-s006-a04.raw,nmdc:bsm-11-81chfb41,['nmdc:sty-11-547rwq94'],unknown,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/RAW/to_process/2B11_3_72_mayer-33-s006-a04.raw,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/processed/202507/2B11_3_72_mayer-33-s006-a04.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,QExactHF03,2B11_3_72_mayer-33-s006-a04.raw,2019-02-06T14:52:59Z,wget ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE1and2/2B11_3_72_mayer-33-s006-a04.raw
1C3_1_36_mayer-34-s003-a04.raw,nmdc:bsm-11-fy05wd88,['nmdc:sty-11-547rwq94'],unknown,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/RAW/to_process/1C3_1_36_mayer-34-s003-a04.raw,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/processed/202507/1C3_1_36_mayer-34-s003-a04.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,QExactHF03,1C3_1_36_mayer-34-s003-a04.raw,2019-02-06T12:25:12Z,wget ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE1and2/1C3_1_36_mayer-34-s003-a04.raw
4E9_1_70_thomas-18-s048-a03.raw,nmdc:bsm-11-sfth9868,['nmdc:sty-11-547rwq94'],unknown,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/RAW/to_process/4E9_1_70_thomas-18-s048-a03.raw,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/processed/202507/4E9_1_70_thomas-18-s048-a03.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,QExactHF03,4E9_1_70_thomas-18-s048-a03.raw,2019-02-11T18:06:30Z,wget ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE3and4/4E9_1_70_thomas-18-s048-a03.raw
7G8_8_68_jensen-43-s007-a03.raw,nmdc:bsm-11-d25r6p51,['nmdc:sty-11-547rwq94'],unknown,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/RAW/to_process/7G8_8_68_jensen-43-s007-a03.raw,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/processed/202507/7G8_8_68_jensen-43-s007-a03.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,QExactHF03,7G8_8_68_jensen-43-s007-a03.raw,2019-02-05T19:50:48Z,wget ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE7/7G8_8_68_jensen-43-s007-a03.raw
1A8_1_10_mayer-34-s005-a04.raw,nmdc:bsm-11-mjktay23,['nmdc:sty-11-547rwq94'],unknown,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/RAW/to_process/1A8_1_10_mayer-34-s005-a04.raw,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/processed/202507/1A8_1_10_mayer-34-s005-a04.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,QExactHF03,1A8_1_10_mayer-34-s005-a04.raw,2019-02-06T11:45:00Z,wget ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE1and2/1A8_1_10_mayer-34-s005-a04.raw
5C5_3_25_girguis-50-s001-a04.raw,nmdc:bsm-11-srm6gy44,['nmdc:sty-11-547rwq94'],unknown,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/RAW/to_process/5C5_3_25_girguis-50-s001-a04.raw,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/processed/202507/5C5_3_25_girguis-50-s001-a04.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,QExactHF03,5C5_3_25_girguis-50-s001-a04.raw,2019-02-04T00:39:23Z,wget ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE5/5C5_3_25_girguis-50-s001-a04.raw
