description,gold_biosample_identifiers,id,insdc_biosample_identifiers,name,samp_name,lcms_name,submitter_id,lcms_extraction_protocol
"Seawater microbial communities from North East Pacific Ocean coastal waters of California, USA",['gold:Gb0297373'],nmdc:bsm-11-024rsd62,SAMEA7723674,"Seawater microbial communities from North East Pacific Ocean coastal waters of California, USA - 13114.palenik.42.s017",13114.palenik.42.s017,3B7_6_14_palenik-42-s017-a02,qiita_sid_13114:13114.palenik.42.s017,Filter_201901_UCSD
"Fecal microbial communities from southern tamandua in National Zoo, Maryland, USA",['gold:Gb0315872'],nmdc:bsm-11-040pda34,SAMEA7723514,"Fecal microbial communities from southern tamandua in National Zoo, Maryland, USA - 13114.song.51.s005",13114.song.51.s005,7H1_8_72_song-51-s005-a04,qiita_sid_13114:13114.song.51.s005,Swabs_201901_UCSD
"Pitcher plant fluid microbial communities from Harvard Forest, Massachusetts, USA",['gold:Gb0315739'],nmdc:bsm-11-04z8tj85,SAMEA7723870,"Pitcher plant fluid microbial communities from Harvard Forest, Massachusetts, USA - 13114.bittleston.68.s014",13114.bittleston.68.s014,,qiita_sid_13114:13114.bittleston.68.s014,
"Stony coral microbial communities from Coral Bay, Australia",['gold:Gb0297460'],nmdc:bsm-11-06g2dc22,SAMEA7724055,"Stony coral microbial communities from Coral Bay, Australia - 13114.zaneveld.9.s003",13114.zaneveld.9.s003,,qiita_sid_13114:13114.zaneveld.9.s003,
Banana cropland soil microbial communities from Singapore,['gold:Gb0239938'],nmdc:bsm-11-06pa9m89,SAMEA7724288,Banana cropland soil microbial communities from Singapore - Seedorf71.JP1soil.18,,,qiita_sid_13114:13114.seedorf.71.s006,Bulk_Seed_PNNL
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0315942'],nmdc:bsm-11-07hz4140,SAMEA7723661,"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s088",13114.mousseau.88.s088,6D7_5_34_mousseau-88-s088-a02,qiita_sid_13114:13114.mousseau.88.s088,Bulk_201901_UCSD
"Brood combs microbial communities from stingless bee nest in Puerto Viejo, Costa Rica",['gold:Gb0315445'],nmdc:bsm-11-07pb3642,SAMEA7723681,"Brood combs microbial communities from stingless bee nest in Puerto Viejo, Costa Rica - 13114.pinto.63.s027",13114.pinto.63.s027,4A11_2_48_pinto-63-s027-a03,qiita_sid_13114:13114.pinto.63.s027,Bulk_201901_UCSD
"Volcanic soil microbial communities from Hawaii, Kilauea Volcano, USA",['gold:Gb0240128'],nmdc:bsm-11-08fpzx54,SAMEA7723435,"Volcanic soil microbial communities from Hawaii, Kilauea Volcano, USA - King27.Thermal.2.0.2",King27.Thermal.2.0.2,2A8_3_43_king-27-s018-a04,qiita_sid_13114:13114.king.27.s018,Bulk_201901_UCSD
"Stream sediment microbial communities from Animas River, San Juan County, Colorado, USA",['gold:Gb0315756'],nmdc:bsm-11-097t3b49,SAMEA7723441,"Stream sediment microbial communities from Animas River, San Juan County, Colorado, USA - 13114.mayer.34.s002",13114.mayer.34.s002,1B5_1_23_mayer-34-s002-a04,qiita_sid_13114:13114.mayer.34.s002,Bulk_201901_UCSD
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0316037'],nmdc:bsm-11-0d2xxc20,SAMEA7724190,"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s106",13114.mousseau.88.s106,,qiita_sid_13114:13114.mousseau.88.s106,Bulk_201901_UCSD
"Seawater microbial communities from North East Pacific Ocean, California, USA",['gold:Gb0297405'],nmdc:bsm-11-0dxyhz83,SAMEA7723939,"Seawater microbial communities from North East Pacific Ocean, California, USA - 13114.palenik.42.s014",13114.palenik.42.s014,,qiita_sid_13114:13114.palenik.42.s014,
"Fecal microbial communities from humpback whale in Seymour Canal, Alaska, USA",['gold:Gb0315861'],nmdc:bsm-11-0g4d7n95,SAMEA7723413,"Fecal microbial communities from humpback whale in Seymour Canal, Alaska, USA - 13114.girguis.50.s007",13114.girguis.50.s007,5C2_3_19_girguis-50-s007-a04,qiita_sid_13114:13114.girguis.50.s007,Bulk_201901_UCSD
"Montane desert soil microbial communities from Mustang Region, Nepal",['gold:Gb0240001'],nmdc:bsm-11-0hahtj72,SAMEA7724269,"Montane desert soil microbial communities from Mustang Region, Nepal - Schmidt56.soil.Nepal.camp2",Schmidt56.soil.Nepal.camp2,,qiita_sid_13114:13114.schmidt.56.s013,Bulk_Seed_PNNL
"Marine sediment microbial communities from Iberian Abyssal Plain, Atlantic Ocean",['gold:Gb0297345'],nmdc:bsm-11-0n3z7r33,SAMEA7723491,"Marine sediment microbial communities from Iberian Abyssal Plain, Atlantic Ocean - 13114.rohwer.85.s020",13114.rohwer.85.s020,2C12_4_21_rohwer-85-s020-a03,qiita_sid_13114:13114.rohwer.85.s020,Bulk_201901_UCSD
"Fecal microbial communities from white-faced whistling duck in National Zoo, Maryland, USA",['gold:Gb0315892'],nmdc:bsm-11-0q0ytn25,SAMEA7723534,"Fecal microbial communities from white-faced whistling duck in National Zoo, Maryland, USA - 13114.song.53.s009",13114.song.53.s009,7A9_8_8_song-53-s009-a04,qiita_sid_13114:13114.song.53.s009,Swabs_201901_UCSD
"Marine salt marsh soil microbial communities from Province of Huelva, Spain",['gold:Gb0239982'],nmdc:bsm-11-0q26tj53,SAMEA7724250,"Marine salt marsh soil microbial communities from Province of Huelva, Spain - RoyChowdhury45.soil.18.SO3.3s",RoyChowdhury45.soil.18.SO3.3s,,qiita_sid_13114:13114.roy.chowdhury.45.s018,
"Temperate coniferous forest soil microbial communities from Oregon, Lane County, USA",['gold:Gb0240064'],nmdc:bsm-11-0snmnf40,SAMEA7724203,"Temperate coniferous forest soil microbial communities from Oregon, Lane County, USA - Myrold5.soil.9.HJADF3",Myrold5.soil.9.HJADF3,,qiita_sid_13114:13114.myrold.5.s009,
"Activated sludge microbial communities from Salt Lake City, Utah, USA",['gold:Gb0315424'],nmdc:bsm-11-0t30k005,SAMEA7723922,"Activated sludge microbial communities from Salt Lake City, Utah, USA - 13114.mcmahon.21.s012",13114.mcmahon.21.s012,,qiita_sid_13114:13114.mcmahon.21.s012,
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0315898'],nmdc:bsm-11-0t4hha86,SAMEA7723617,"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s001",13114.mousseau.88.s001,,qiita_sid_13114:13114.mousseau.88.s001,
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0315908'],nmdc:bsm-11-0v4vv913,SAMEA7723627,"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s023",13114.mousseau.88.s023,5E8_4_22_mousseau-88-s023-a02,qiita_sid_13114:13114.mousseau.88.s023,Bulk_201901_UCSD
"Zompopas fungus garden microbial communities from Puerto Viejo, Costa Rica",['gold:Gb0315669'],nmdc:bsm-11-0ve03274,SAMEA7723461,"Zompopas fungus garden microbial communities from Puerto Viejo, Costa Rica - 13114.pinto.63.s003",13114.pinto.63.s003,4C1_3_60_pinto-63-s003-a04,qiita_sid_13114:13114.pinto.63.s003,Bulk_201901_UCSD
"Stony coral microbial communities from Gulf of Panama, Saboga, Panama",['gold:Gb0297363'],nmdc:bsm-11-0x01kf67,SAMEA7723557,"Stony coral microbial communities from Gulf of Panama, Saboga, Panama - 13114.zaneveld.9.s011",13114.zaneveld.9.s011,4H8_7_45_zaneveld-9-s011-a04,qiita_sid_13114:13114.zaneveld.9.s011,Bulk_201901_UCSD
"Marine sediment microbial communities from Caribbean Sea, Quintana Roo, Mexico",['gold:Gb0297392'],nmdc:bsm-11-0z4fw943,SAMEA7723898,"Marine sediment microbial communities from Caribbean Sea, Quintana Roo, Mexico - 13114.jensen.43.s012",13114.jensen.43.s012,,qiita_sid_13114:13114.jensen.43.s012,
"Lake sediment microbial communities from Town of Ludlow, Massachusetts, USA",['gold:Gb0315770'],nmdc:bsm-11-1026rp71,SAMEA7723853,"Lake sediment microbial communities from Town of Ludlow, Massachusetts, USA - 13114.berry.2.s012",13114.berry.2.s012,,qiita_sid_13114:13114.berry.2.s012,
"Salt marsh sediment microbial communities from Plum Island, Massachusetts, USA",['gold:Gb0297317'],nmdc:bsm-11-10czxf79,SAMEA7723403,"Salt marsh sediment microbial communities from Plum Island, Massachusetts, USA - 13114.bowen.74.s011",13114.bowen.74.s011,1E7_2_8_bowen-74-s011-a04,qiita_sid_13114:13114.bowen.74.s011,Bulk_201901_UCSD
Grasslands and shrubland soil microbial communities from Mongolia,['gold:Gb0239957'],nmdc:bsm-11-1109f777,SAMEA7724111,Grasslands and shrubland soil microbial communities from Mongolia - MacRae3.soil.5,MacRae3.soil.5,,qiita_sid_13114:13114.macrae.crerar.3.s005,Bulk_Seed_PNNL
"Terrestrial cropland soil microbial communities from Oregon, Tillamook County, USA",['gold:Gb0240094'],nmdc:bsm-11-1302r041,SAMEA7724217,"Terrestrial cropland soil microbial communities from Oregon, Tillamook County, USA - Myrold59.soil.11.NRCS0221",,,qiita_sid_13114:13114.myrold.59.s011,Bulk_Seed_PNNL
"Salt marsh sediment microbial communities from Plum Island, Massachusetts, USA",['gold:Gb0297385'],nmdc:bsm-11-13mnr371,SAMEA7723876,"Salt marsh sediment microbial communities from Plum Island, Massachusetts, USA - 13114.bowen.74.s009",13114.bowen.74.s009,,qiita_sid_13114:13114.bowen.74.s009,
"Sterile water microbial communities from research facility in San Diego, CA, USA",['gold:Gb0315574'],nmdc:bsm-11-18mrgb45,SAMEA7724365,"Sterile water microbial communities from research facility in San Diego, CA, USA - 13114.BLANK3.3D",13114.BLANK3.3D,,qiita_sid_13114:13114.BLANK3.3D,
"Marine salt marsh soil microbial communities from Province of Huelva, Spain",['gold:Gb0239986'],nmdc:bsm-11-18vqrs66,SAMEA7724254,"Marine salt marsh soil microbial communities from Province of Huelva, Spain - RoyChowdhury45.soil.22.SO4.1s",RoyChowdhury45.soil.22.SO4.1s,,qiita_sid_13114:13114.roy.chowdhury.45.s022,
Desert gravel field soil microbial communities from Namibia,['gold:Gb0239942'],nmdc:bsm-11-195jdb89,SAMEA7724120,Desert gravel field soil microbial communities from Namibia - Makhalanyane46.TGP3,Makhalanyane46.TGP3,,qiita_sid_13114:13114.makhalanyane.46.s002,Bulk_Seed_PNNL
"Arctic glacier soil microbial communities from Luigi island, Arctic Ocean",['gold:Gb0239931'],nmdc:bsm-11-197ez411,SAMEA7723948,"Arctic glacier soil microbial communities from Luigi island, Arctic Ocean - Rohwer84.arctic.glacier.soil.FJLL1",Rohwer84.arctic.glacier.soil.FJLL1,,qiita_sid_13114:13114.rohwer.84.s005,
"Subpolar coniferous forest soil microbial communities from Alaska, Fairbanks, USA",['gold:Gb0240049'],nmdc:bsm-11-1am9vt77,SAMEA7724345,"Subpolar coniferous forest soil microbial communities from Alaska, Fairbanks, USA - Stegen38.activelayer.soil.T7.4m",,,qiita_sid_13114:13114.stegen.38.s014,
"Fecal microbial communities from common quail in Zomba, Malawi",['gold:Gb0315959'],nmdc:bsm-11-1b0wkq73,SAMEA7723928,"Fecal microbial communities from common quail in Zomba, Malawi - 13114.minich.76.s006",13114.minich.76.s006,,qiita_sid_13114:13114.minich.76.s006,
"Stony coral microbial communities from Coral Bay, Australia",['gold:Gb0297468'],nmdc:bsm-11-1bgy6m27,SAMEA7724063,"Stony coral microbial communities from Coral Bay, Australia - 13114.zaneveld.9.s018",13114.zaneveld.9.s018,,qiita_sid_13114:13114.zaneveld.9.s018,
"Salt marsh sediment microbial communities from Plum Island, Massachusetts, USA",['gold:Gb0297381'],nmdc:bsm-11-1g0a3624,SAMEA7723872,"Salt marsh sediment microbial communities from Plum Island, Massachusetts, USA - 13114.bowen.74.s002",13114.bowen.74.s002,,qiita_sid_13114:13114.bowen.74.s002,
"Brown algae microbial communities from South Pacific Ocean, New South Wales, Australia",['gold:Gb0297446'],nmdc:bsm-11-1grhm318,SAMEA7724025,"Brown algae microbial communities from South Pacific Ocean, New South Wales, Australia - 13114.thomas.19.s010",13114.thomas.19.s010,,qiita_sid_13114:13114.thomas.19.s010,
"Fecal microbial communities from lined flat-tail gecko in National Zoo, Maryland, USA",['gold:Gb0315882'],nmdc:bsm-11-1j6kvc24,SAMEA7723524,"Fecal microbial communities from lined flat-tail gecko in National Zoo, Maryland, USA - 13114.song.52.s010",13114.song.52.s010,7F9_8_59_song-52-s010-a04,qiita_sid_13114:13114.song.52.s010,Swabs_201901_UCSD
"Lake sediment microbial communities from Hampden County, Massachusetts, USA",['gold:Gb0315768'],nmdc:bsm-11-1kc3zb19,SAMEA7723851,"Lake sediment microbial communities from Hampden County, Massachusetts, USA - 13114.berry.2.s005",13114.berry.2.s005,,qiita_sid_13114:13114.berry.2.s005,
"Fecal microbial communities from radiated tortoise in National Zoo, Maryland, USA",['gold:Gb0315879'],nmdc:bsm-11-1vny2356,SAMEA7723521,"Fecal microbial communities from radiated tortoise in National Zoo, Maryland, USA - 13114.song.52.s004",13114.song.52.s004,7H9_8_79_song-52-s004-a04,qiita_sid_13114:13114.song.52.s004,Swabs_201901_UCSD
"Fecal microbial communities from hoffmann's two-toed sloth in Atlanta Zoo, Georgia, USA",['gold:Gb0315877'],nmdc:bsm-11-1yc28a60,SAMEA7723519,"Fecal microbial communities from hoffmann's two-toed sloth in Atlanta Zoo, Georgia, USA - 13114.song.51.s019",13114.song.51.s019,7D5_8_35_song-51-s019-a04,qiita_sid_13114:13114.song.51.s019,Swabs_201901_UCSD
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0315930'],nmdc:bsm-11-227vda38,SAMEA7723649,"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s064",13114.mousseau.88.s064,6A4_4_71_mousseau-88-s064-a02,qiita_sid_13114:13114.mousseau.88.s064,Bulk_201901_UCSD
"Volcanic soil microbial communities from Hawaii, Kilauea Volcano, USA",['gold:Gb0240114'],nmdc:bsm-11-228q6569,SAMEA7724102,"Volcanic soil microbial communities from Hawaii, Kilauea Volcano, USA - King27.Edge.1.2.8.10",King27.Edge.1.2.8.10,,qiita_sid_13114:13114.king.27.s004,Bulk_201901_UCSD
"Fecal microbial communities from giant otter in Atlanta Zoo, Georgia, USA",['gold:Gb0315953'],nmdc:bsm-11-22fyr510,SAMEA7723684,"Fecal microbial communities from giant otter in Atlanta Zoo, Georgia, USA - 13114.song.75.s001",13114.song.75.s001,7B3_8_13_song-75-s001-a04,qiita_sid_13114:13114.song.75.s001,Swabs_201901_UCSD
"Fish gut microbial communities from Scripps Coastal Reserve, CA, USA",['gold:Gb0315654'],nmdc:bsm-11-24619e70,SAMEA7723968,"Fish gut microbial communities from Scripps Coastal Reserve, CA, USA - 13114.sandin.54.s009",13114.sandin.54.s009,,qiita_sid_13114:13114.sandin.54.s009,
"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia",['gold:Gb0315836'],nmdc:bsm-11-26rxcm44,SAMEA7723724,"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia - 13114.thomas.18.s047",13114.thomas.18.s047,4E4_1_63_thomas-18-s047-a04,qiita_sid_13114:13114.thomas.18.s047,Bulk_201901_UCSD
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0316019'],nmdc:bsm-11-28v9fb45,SAMEA7724172,"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s073",13114.mousseau.88.s073,,qiita_sid_13114:13114.mousseau.88.s073,Bulk_201901_UCSD
"Arctic glacier soil microbial communities from Luigi island, Arctic Ocean",['gold:Gb0239932'],nmdc:bsm-11-29kct608,SAMEA7723949,"Arctic glacier soil microbial communities from Luigi island, Arctic Ocean - Rohwer84.arctic.glacier.soil.FJLL2",Rohwer84.arctic.glacier.soil.FJLL2,,qiita_sid_13114:13114.rohwer.84.s006,
"Subpolar coniferous forest soil microbial communities from Alaska, Fairbanks, USA",['gold:Gb0240034'],nmdc:bsm-11-2ah5z651,SAMEA7724320,"Subpolar coniferous forest soil microbial communities from Alaska, Fairbanks, USA - Stegen36.permafrost.t15.100m",,,qiita_sid_13114:13114.stegen.36.s014,Bulk_Seed_PNNL
"Seawater microbial communities from North Pacific Ocean, Mexico",['gold:Gb0297435'],nmdc:bsm-11-2b388f02,SAMEA7724003,"Seawater microbial communities from North Pacific Ocean, Mexico - 13114.stewart.26.s006",13114.stewart.26.s006,,qiita_sid_13114:13114.stewart.26.s006,
"Sterile water microbial communities from research facility in San Diego, CA, USA",['gold:Gb0315563'],nmdc:bsm-11-2bn4zt60,SAMEA7724354,"Sterile water microbial communities from research facility in San Diego, CA, USA - 13114.BLANK1.1A",13114.BLANK1.1A,,qiita_sid_13114:13114.BLANK1.1A,
"Lake sediment microbial communities from Norfolk County, Massachusetts, USA",['gold:Gb0315751'],nmdc:bsm-11-2c8r9c97,SAMEA7723398,"Lake sediment microbial communities from Norfolk County, Massachusetts, USA - 13114.berry.2.s019",13114.berry.2.s019,1B2_1_20_berry-2-s019-a04,qiita_sid_13114:13114.berry.2.s019,Bulk_201901_UCSD
