id,name,description,samp_name,gold_biosample_identifiers
nmdc:bsm-11-6zd5nb38,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-904-Co3_16_51 rhizosphere","Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA",BESC-904-Co3_16_51 rhizosphere,['gold:Gb0291773']
nmdc:bsm-11-ahpvvb55,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - GW-9591-CL1_34_16 rhizosphere","Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA",GW-9591-CL1_34_16 rhizosphere,['gold:Gb0291786']
nmdc:bsm-11-4f4btc22,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-9591-Co2_62_24 rhizosphere","Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA",GW-9591-Co2_62_24 rhizosphere,['gold:Gb0291790']
nmdc:bsm-11-kgm2s608,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-7986-Co1_37_5 rhizosphere","Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA",GW-7986-Co1_37_5 rhizosphere,['gold:Gb0291783']
nmdc:bsm-11-wpye0n32,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-845-Co1_24_3 rhizosphere","Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA",BESC-845-Co1_24_3 rhizosphere,['gold:Gb0291754']
nmdc:bsm-11-c9458s26,"Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-234-CL2_65_22 soil","Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA",BESC-234-CL2_65_22 soil,['gold:Gb0291597']
nmdc:bsm-11-r7rgv593,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-331-Co3_15_40 soil","Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA",BESC-331-Co3_15_40 soil,['gold:Gb0291613']
nmdc:bsm-11-bdn1fa14,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-307-Co3_27_41 soil","Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA",BESC-307-Co3_27_41 soil,['gold:Gb0291609']
nmdc:bsm-11-ftte8s50,"Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-351-CL2_54_28 soil","Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA",BESC-351-CL2_54_28 soil,['gold:Gb0291615']
nmdc:bsm-11-6v9t8f56,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-56-Co1_22_4 soil","Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA",BESC-56-Co1_22_4 soil,['gold:Gb0291633']
