raw_data_identifier,biosample_id,biosample_name,match_confidence,processedsample_placeholder,material_processing_protocol_id
769701_EMSL_49991_Brodie_369_Lipids_POS_09Aug19_Lola-WCSH417820.raw,nmdc:bsm-11-07spy989,"Bulk soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_369",high,ProcessedSample3_lipid,lipid
769750_EMSL_49991_Brodie_369_Lipids_Neg_12Aug19_Lola-WCSH417820.raw,nmdc:bsm-11-07spy989,"Bulk soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_369",high,ProcessedSample3_lipid,lipid
769661_EMSL_49991_Brodie_181_Lipids_POS_09Aug19_Lola-WCSH417820.raw,nmdc:bsm-11-0pq46m48,"Bulk soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_181",high,ProcessedSample3_lipid,lipid
769680_EMSL_49991_Brodie_181_Lipids_Neg_12Aug19_Lola-WCSH417820.raw,nmdc:bsm-11-0pq46m48,"Bulk soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_181",high,ProcessedSample3_lipid,lipid
769664_EMSL_49991_Brodie_116_Lipids_POS_09Aug19_Lola-WCSH417820.raw,nmdc:bsm-11-1srsh991,"Bulk soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_116",high,ProcessedSample3_lipid,lipid
769702_EMSL_49991_Brodie_116_Lipids_Neg_12Aug19_Lola-WCSH417820.raw,nmdc:bsm-11-1srsh991,"Bulk soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_116",high,ProcessedSample3_lipid,lipid
769689_EMSL_49991_Brodie_379_Lipids_POS_09Aug19_Lola-WCSH417820.raw,nmdc:bsm-11-29d9a657,"Bulk soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_379",high,ProcessedSample3_lipid,lipid
769754_EMSL_49991_Brodie_379_Lipids_Neg_12Aug19_Lola-WCSH417820.raw,nmdc:bsm-11-29d9a657,"Bulk soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_379",high,ProcessedSample3_lipid,lipid
769682_EMSL_49991_Brodie_356_Lipids_POS_09Aug19_Lola-WCSH417820.raw,nmdc:bsm-11-2h2j6s31,"Bulk soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_356",high,ProcessedSample3_lipid,lipid
769752_EMSL_49991_Brodie_356_Lipids_Neg_12Aug19_Lola-WCSH417820.raw,nmdc:bsm-11-2h2j6s31,"Bulk soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_356",high,ProcessedSample3_lipid,lipid
