Biosample ID,Associated Studies,Processing Type,Raw Data File,Raw Data Object Alt ID,Proessed Data Directory,mass spec configuration name,lc config name,instrument used,processing instutition,instrument analysis start date,instrument analysis end date,execution resrouce
nmdc:bsm-11-q0bxzb10,nmdc:sty-11-8ws97026,,Blanch_Nat_Lip_C_4_AB_M_08_POS_23Jan18_Brandi-WCSH5801.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2018-01-23T19:56:13Z,2018-01-23T20:30:16Z,EMSL-RZR
nmdc:bsm-11-q0bxzb10,nmdc:sty-11-8ws97026,,Blanch_Nat_Lip_C_4_AB_M_08_NEG_25Jan18_Brandi-WCSH5801.raw,,,"EMSL lipidomics DDA mass spectrometry method, negative",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2018-01-25T12:22:51Z,2018-01-25T12:56:53Z,EMSL-RZR
nmdc:bsm-11-7qaw2x10,nmdc:sty-11-8ws97026,,Blanch_Nat_Lip_C_4_AB_O_04_POS_23Jan18_Brandi-WCSH5801.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2018-01-24T13:50:16Z,2018-01-24T14:24:15Z,EMSL-RZR
nmdc:bsm-11-7qaw2x10,nmdc:sty-11-8ws97026,,Blanch_Nat_Lip_C_4_AB_O_04_NEG_25Jan18_Brandi-WCSH5801.raw,,,"EMSL lipidomics DDA mass spectrometry method, negative",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2018-01-27T01:58:05Z,2018-01-27T02:32:08Z,EMSL-RZR
nmdc:bsm-11-042nd237,nmdc:sty-11-8ws97026,,Blanch_Nat_Lip_C_7_AB_M_07_POS_23Jan18_Brandi-WCSH5801.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2018-01-24T03:48:52Z,2018-01-24T04:22:52Z,EMSL-RZR
nmdc:bsm-11-042nd237,nmdc:sty-11-8ws97026,,Blanch_Nat_Lip_C_7_AB_M_07_NEG_25Jan18_Brandi-WCSH5801.raw,,,"EMSL lipidomics DDA mass spectrometry method, negative",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2018-01-26T15:57:21Z,2018-01-26T16:31:22Z,EMSL-RZR
nmdc:bsm-11-622k6044,nmdc:sty-11-8ws97026,,Blanch_Nat_Lip_C_12_AB_M_17_POS_23Jan18_Brandi-WCSH5801.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2018-01-24T05:57:43Z,2018-01-24T06:31:44Z,EMSL-RZR
nmdc:bsm-11-622k6044,nmdc:sty-11-8ws97026,,Blanch_Nat_Lip_C_12_AB_M_17_NEG_25Jan18_Brandi-WCSH5801.raw,,,"EMSL lipidomics DDA mass spectrometry method, negative",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2018-01-26T18:06:05Z,2018-01-26T18:40:06Z,EMSL-RZR
nmdc:bsm-11-pwa2h444,nmdc:sty-11-8ws97026,,Blanch_Nat_Lip_C_12_AB_O_25_POS_23Jan18_Brandi-WCSH5801.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2018-01-24T05:14:46Z,2018-01-24T05:48:48Z,EMSL-RZR
nmdc:bsm-11-pwa2h444,nmdc:sty-11-8ws97026,,Blanch_Nat_Lip_C_12_AB_O_25_NEG_25Jan18_Brandi-WCSH5801.raw,,,"EMSL lipidomics DDA mass spectrometry method, negative",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2018-01-26T17:23:07Z,2018-01-26T17:57:09Z,EMSL-RZR
nmdc:bsm-11-frgt4x11,nmdc:sty-11-8ws97026,,Blanch_Nat_Lip_C_14_AB_M_27_POS_23Jan18_Brandi-WCSH5801.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2018-01-24T02:22:58Z,2018-01-24T02:57:02Z,EMSL-RZR
nmdc:bsm-11-frgt4x11,nmdc:sty-11-8ws97026,,Blanch_Nat_Lip_C_14_AB_M_27_NEG_25Jan18_Brandi-WCSH5801.raw,,,"EMSL lipidomics DDA mass spectrometry method, negative",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2018-01-26T14:31:29Z,2018-01-26T15:05:29Z,EMSL-RZR
