id,name,description,gold_biosample_identifiers,samp_name
nmdc:bsm-11-nk557c89,SanClements_NEON_055,SanClements NEON (EMSL 50718),[],SanClements_NEON_055
nmdc:bsm-11-m1fq6w19,SanClements_NEON_041,SanClements NEON (EMSL 50718),[],SanClements_NEON_041
nmdc:bsm-11-taxbd841,SanClements_NEON_015,SanClements NEON (EMSL 50718),[],SanClements_NEON_015
nmdc:bsm-11-ee0ag266,SanClements_NEON_051,SanClements NEON (EMSL 50718),[],SanClements_NEON_051
nmdc:bsm-11-www7hy67,SanClements_NEON_001,SanClements NEON (EMSL 50718),[],SanClements_NEON_001
nmdc:bsm-11-wt6b4187,SanClements_NEON_047,SanClements NEON (EMSL 50718),[],SanClements_NEON_047
nmdc:bsm-11-ce4jwr84,SanClements_NEON_007,SanClements NEON (EMSL 50718),[],SanClements_NEON_007
nmdc:bsm-11-j27yvs05,SanClements_NEON_099,SanClements NEON (EMSL 50718),[],SanClements_NEON_099
nmdc:bsm-11-3yzava15,SanClements_NEON_031,SanClements NEON (EMSL 50718),[],SanClements_NEON_031
nmdc:bsm-11-dvfacz60,SanClements_NEON_032,SanClements NEON (EMSL 50718),[],SanClements_NEON_032
nmdc:bsm-11-nd8fhn80,SanClements_NEON_011,SanClements NEON (EMSL 50718),[],SanClements_NEON_011
nmdc:bsm-11-6e0p4s30,SanClements_NEON_018,SanClements NEON (EMSL 50718),[],SanClements_NEON_018
nmdc:bsm-11-8jfcjq92,SanClements_NEON_048,SanClements NEON (EMSL 50718),[],SanClements_NEON_048
nmdc:bsm-11-295d8545,SanClements_NEON_046,SanClements NEON (EMSL 50718),[],SanClements_NEON_046
nmdc:bsm-11-nf5pt178,SanClements_NEON_058,SanClements NEON (EMSL 50718),[],SanClements_NEON_058
nmdc:bsm-11-1s142j75,SanClements_NEON_017,SanClements NEON (EMSL 50718),[],SanClements_NEON_017
nmdc:bsm-11-wh3b0b53,SanClements_NEON_016,SanClements NEON (EMSL 50718),[],SanClements_NEON_016
nmdc:bsm-11-g4qh8267,SanClements_NEON_045,SanClements NEON (EMSL 50718),[],SanClements_NEON_045
nmdc:bsm-11-5p6m6g72,SanClements_NEON_021,SanClements NEON (EMSL 50718),[],SanClements_NEON_021
nmdc:bsm-11-jpbmcx96,SanClements_NEON_030,SanClements NEON (EMSL 50718),[],SanClements_NEON_030
nmdc:bsm-11-wy4w4f21,SanClements_NEON_004,SanClements NEON (EMSL 50718),[],SanClements_NEON_004
nmdc:bsm-11-04wp3b78,SanClements_NEON_075,SanClements NEON (EMSL 50718),[],SanClements_NEON_075
nmdc:bsm-11-aj0gen06,SanClements_NEON_079,SanClements NEON (EMSL 50718),[],SanClements_NEON_079
nmdc:bsm-11-6rw1t302,SanClements_NEON_063,SanClements NEON (EMSL 50718),[],SanClements_NEON_063
nmdc:bsm-11-ap2tkx52,SanClements_NEON_008,SanClements NEON (EMSL 50718),[],SanClements_NEON_008
nmdc:bsm-11-z5t01x57,SanClements_NEON_081,SanClements NEON (EMSL 50718),[],SanClements_NEON_081
nmdc:bsm-11-mhnyhc47,SanClements_NEON_042,SanClements NEON (EMSL 50718),[],SanClements_NEON_042
nmdc:bsm-11-tff92b81,SanClements_NEON_035,SanClements NEON (EMSL 50718),[],SanClements_NEON_035
nmdc:bsm-11-9j388g12,SanClements_NEON_085,SanClements NEON (EMSL 50718),[],SanClements_NEON_085
nmdc:bsm-11-vea02z69,SanClements_NEON_013,SanClements NEON (EMSL 50718),[],SanClements_NEON_013
nmdc:bsm-11-hsfxtk02,SanClements_NEON_078,SanClements NEON (EMSL 50718),[],SanClements_NEON_078
nmdc:bsm-11-1362ms92,SanClements_NEON_059,SanClements NEON (EMSL 50718),[],SanClements_NEON_059
nmdc:bsm-11-zff5mj77,SanClements_NEON_084,SanClements NEON (EMSL 50718),[],SanClements_NEON_084
nmdc:bsm-11-bg4bwd45,SanClements_NEON_052,SanClements NEON (EMSL 50718),[],SanClements_NEON_052
nmdc:bsm-11-q0awnq72,SanClements_NEON_080,SanClements NEON (EMSL 50718),[],SanClements_NEON_080
nmdc:bsm-11-ygfwzz82,SanClements_NEON_083,SanClements NEON (EMSL 50718),[],SanClements_NEON_083
nmdc:bsm-11-cama3617,SanClements_NEON_069,SanClements NEON (EMSL 50718),[],SanClements_NEON_069
nmdc:bsm-11-qnr70n54,SanClements_NEON_095,SanClements NEON (EMSL 50718),[],SanClements_NEON_095
nmdc:bsm-11-tsgx8x62,SanClements_NEON_012,SanClements NEON (EMSL 50718),[],SanClements_NEON_012
nmdc:bsm-11-qjhpmv18,SanClements_NEON_044,SanClements NEON (EMSL 50718),[],SanClements_NEON_044
nmdc:bsm-11-6n9dbz91,SanClements_NEON_096,SanClements NEON (EMSL 50718),[],SanClements_NEON_096
nmdc:bsm-11-8qrc0539,SanClements_NEON_103,SanClements NEON (EMSL 50718),[],SanClements_NEON_103
nmdc:bsm-11-1s7vxr77,SanClements_NEON_089,SanClements NEON (EMSL 50718),[],SanClements_NEON_089
nmdc:bsm-11-4xhnx443,SanClements_NEON_062,SanClements NEON (EMSL 50718),[],SanClements_NEON_062
nmdc:bsm-11-d4kqew50,SanClements_NEON_074,SanClements NEON (EMSL 50718),[],SanClements_NEON_074
nmdc:bsm-11-2d4vgv18,SanClements_NEON_091,SanClements NEON (EMSL 50718),[],SanClements_NEON_091
nmdc:bsm-11-gv18jj79,SanClements_NEON_034,SanClements NEON (EMSL 50718),[],SanClements_NEON_034
