nmdc_id,raw_file_name
nmdc:omprc-11-0356za22,Lybrand_Permafrost_HE_11_CHCl3_13Dec19_Alder_Infuse_p08_1_01_50510.zip
nmdc:omprc-11-0cvdw620,Lybrand_FT_51_W_23Aug19_Alder_Infuse_p3_1_01_47737.zip
nmdc:omprc-11-0d78rx47,Lybrand_FT_36_W_23Aug19_Alder_Infuse_p3_1_01_47720.zip
nmdc:omprc-11-0hsy5x80,Lybrand_GHG_7_W_27Aug19_Alder_Infuse_p1_000001.zip
nmdc:omprc-11-0nj5jj40,Lybrand_Permafrost_BOG_02_H2O_10Dec19_Alder_Infuse_p1_1_01_50276.zip
nmdc:omprc-11-0txrb520,Lybrand_Permafrost_BOG_07_CHCl3_13Dec19_Alder_Infuse_p08_1_01_50485.zip
nmdc:omprc-11-0xbwej56,Lybrand_FT_05_W_23Aug19_Alder_Infuse_p3_1_01_47690.zip
nmdc:omprc-11-18e5nq52,Lybrand_FT_67_C_30Aug19_Alder_Infuse_p05_1_01_47948.zip
nmdc:omprc-11-18kdt652,Lybrand_FT_18_C_30Aug19_Alder_Infuse_p05_1_01_47894.zip
nmdc:omprc-11-19c9ah61,Lybrand_Permafrost_BOG_09_CHCl3_13Dec19_Alder_Infuse_p08_1_01_50481.zip
nmdc:omprc-11-1gvy2781,Lybrand_GHG_23_C_30Aug19_Alder_Infuse_p05_1_01_47989.zip
nmdc:omprc-11-1m47x019,Lybrand_Permafrost_Y1_09_H2O_11Dec19_Alder_Infuse_p3_1_01_50412.zip
nmdc:omprc-11-1mckrt73,Lybrand_FT_14_W_26Aug19_Alder_Infuse_p3_000001.zip
nmdc:omprc-11-1n1a2m42,Lybrand_GHG_14_W_27Aug19_Alder_Infuse_p2_000001.zip
nmdc:omprc-11-1p2qxp30,Lybrand_Permafrost_Y1_44_H2O_11Dec19_Alder_Infuse_p3_1_01_50376.zip
nmdc:omprc-11-1x8jrj75,Lybrand_GHG_09_C_30Aug19_Alder_Infuse_p05_1_01_47973.zip
