id,name,description,gold_biosample_identifiers,samp_name
nmdc:bsm-11-0pyv7738,Lybrand_FT_01,Lybrand NEON (EMSL 50267),[],Lybrand_FT_01
nmdc:bsm-11-fxjpfg48,Lybrand_FT_02,Lybrand NEON (EMSL 50267),[],Lybrand_FT_02
nmdc:bsm-11-257rs124,Lybrand_FT_03,Lybrand NEON (EMSL 50267),[],Lybrand_FT_03
nmdc:bsm-11-fzgnr608,Lybrand_FT_05,Lybrand NEON (EMSL 50267),[],Lybrand_FT_05
nmdc:bsm-11-3t39zs54,Lybrand_FT_06,Lybrand NEON (EMSL 50267),[],Lybrand_FT_06
nmdc:bsm-11-tptj8973,Lybrand_FT_07,Lybrand NEON (EMSL 50267),[],Lybrand_FT_07
nmdc:bsm-11-g4awg313,Lybrand_FT_08,Lybrand NEON (EMSL 50267),[],Lybrand_FT_08
nmdc:bsm-11-jy81gw62,Lybrand_FT_10,Lybrand NEON (EMSL 50267),[],Lybrand_FT_10
nmdc:bsm-11-bh9fvn12,Lybrand_FT_12,Lybrand NEON (EMSL 50267),[],Lybrand_FT_12
nmdc:bsm-11-db10jb17,Lybrand_FT_19,Lybrand NEON (EMSL 50267),[],Lybrand_FT_19
nmdc:bsm-11-r8w5p337,Lybrand_FT_20,Lybrand NEON (EMSL 50267),[],Lybrand_FT_20
nmdc:bsm-11-fknbxp34,Lybrand_FT_21,Lybrand NEON (EMSL 50267),[],Lybrand_FT_21
nmdc:bsm-11-mm9emb03,Lybrand_FT_23,Lybrand NEON (EMSL 50267),[],Lybrand_FT_23
nmdc:bsm-11-8bfp0v23,Lybrand_FT_24,Lybrand NEON (EMSL 50267),[],Lybrand_FT_24
nmdc:bsm-11-tkdcqc15,Lybrand_FT_31,Lybrand NEON (EMSL 50267),[],Lybrand_FT_31
nmdc:bsm-11-2yz57x63,Lybrand_FT_33,Lybrand NEON (EMSL 50267),[],Lybrand_FT_33
nmdc:bsm-11-bdvqdz07,Lybrand_FT_35,Lybrand NEON (EMSL 50267),[],Lybrand_FT_35
nmdc:bsm-11-tea8p723,Lybrand_FT_36,Lybrand NEON (EMSL 50267),[],Lybrand_FT_36
nmdc:bsm-11-erpvhh22,Lybrand_FT_37,Lybrand NEON (EMSL 50267),[],Lybrand_FT_37
nmdc:bsm-11-byftwh79,Lybrand_FT_39,Lybrand NEON (EMSL 50267),[],Lybrand_FT_39
nmdc:bsm-11-6wrv4m85,Lybrand_FT_41,Lybrand NEON (EMSL 50267),[],Lybrand_FT_41
